Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
20,10.01,0,Antoine ADAMS,31-Aug-88,SKN,1,Basseterre (SKN),22-Jun-14,1203
21,10.02,1.4,Akani SIMBINE,21-Sep-93,RSA,2,Pretoria (RSA),12-Apr-14,1199
21,10.02,1,Alonso EDWARD,8-Dec-89,PAN,h8,"Clermont, FL (USA)",26-Apr-14,1199
21,10.02,0.6,Yohan BLAKE,26-Dec-89,JAM,1f11,Kingston (JAM),7-Jun-14,1199
21,10.02,1.8,Dentarius LOCKE,12-Dec-89,USA,2,"Eugene, OR (USA)",13-Jun-14,1199
25,10.03,1.5,Gerald PHIRI,6-Oct-88,ZAM,1f1,"Clermont, FL (USA)",10-May-14,1196
25,10.03,1.5,Julian FORTE,7-Jan-93,JAM,1f10,Kingston (JAM),17-May-14,1196
27,10.04,2,Diondre BATSON,13-Jul-92,USA,1f1,"Starkville, MS (USA)",2-May-14,1193
27,10.04,0,Jason ROGERS,31-Aug-91,SKN,2,Basseterre (SKN),22-Jun-14,1193
27,10.04,1.6,Adam GEMILI,6-Oct-93,GBR,1h1,Mannheim (GER),5-Jul-14,1193
30,10.05,1.6,Yoshihide KIRYU,15-Dec-95,JPN,1,Saitama (JPN),17-May-14,1189
30,10.05,1.7,Darrel BROWN,11-Oct-84,TTO,3f2,Port-of-Spain (TTO),21-Jun-14,1189
30,10.05,-0.4,Jason LIVERMORE,25-Apr-88,JAM,1sf2,Kingston (JAM),27-Jun-14,1191
30,10.05,1.8,Julian REUS,29-Apr-88,GER,1sf2,Ulm (GER),26-Jul-14,1189
30,10.05,0.4,Wilfried KOFFI HUA,12-Oct-87,CIV,1,"Le Grande Stade, Marrakesh (MAR)",11-Aug-14,1189
35,10.06,0.9,Ramon GITTENS,20-Jul-87,BAR,1f1,Regensburg (GER),7-Jun-14,1186
36,10.07,1.6,Gabriel MVUMVURE,23-Feb-88,ZIM,1f1,"Baton Rouge, LA (USA)",19-Apr-14,1182
36,10.07,1.5,Lucas JAKUBCZYK,28-Apr-85,GER,2f1,"Clermont, FL (USA)",10-May-14,1182
36,10.07,1.8,Aaron BROWN,27-May-92,CAN,3,"Eugene, OR (USA)",13-Jun-14,1182
36,10.07,1.7,Charles SILMON,4-Jul-91,USA,1sf2,"Sacramento, CA (USA)",27-Jun-14,1182
36,10.07,0.4,Mark JELKS,10-Apr-84,NGR,2,"Le Grande Stade, Marrakesh (MAR)",11-Aug-14,1182
41,10.08,1.7,Maurice MITCHELL,22-Dec-89,USA,1,"Joplin, MO (USA)",25-Apr-14,1179
41,10.08,1.5,Marvin BRACY,15-Dec-93,USA,1f1,"Clermont, FL (USA)",26-Apr-14,1179
41,10.08,1.4,Harry AIKINES-ARYEETEY,29-Aug-88,GBR,5,"Blankers-Koen Stadion, Hengelo (NED)",8-Jun-14,1179
41,10.08,1.7,Rakieem SALAAM,5-Apr-90,USA,2sf2,"Sacramento, CA (USA)",27-Jun-14,1179
45,10.09,0.5,Rondel SORRILLO,21-Jan-86,TTO,1sf1,Port-of-Spain (TTO),21-Jun-14,1176
45,10.09,0.3,Andrew FISHER,15-Dec-91,JAM,1h3,Kingston (JAM),26-Jun-14,1176
47,10.1,0.1,Senoj-Jay GIVANS,30-Dec-93,JAM,2h2,"Lubbock, TX (USA)",17-May-14,1172
47,10.1,0.6,Christophe LEMAITRE,11-Jun-90,FRA,2sf2,"Letzigrund, Zürich (SUI)",13-Aug-14,1172
47,10.1,-1.3,Daniel BAILEY,9-Sep-86,ANT,2,Ciudad de México (MEX),15-Aug-14,1179
47,10.1,1.9,Andrew ROBERTSON,17-Dec-90,GBR,1sf1,Bedford (GBR),23-Aug-14,1172
47,10.1,0.4,Bingtian SU,29-Aug-89,CHN,2,Incheon (KOR),28-Sep-14,1172
52,10.11,0.7,Shavez HART,6-Sep-92,BAH,1,Nassau (BAH),27-Jun-14,1169
52,10.11,1,Jaysuma SAIDY NDURE,1-Jul-84,NOR,1h2,Mannheim (GER),5-Jul-14,1169
54,10.12,1.3,Zharnel HUGHES,13-Jul-95,AIA,1,Kingston (JAM),28-Mar-14,1165
54,10.12,1,Gil ROBERTS,15-Mar-89,USA,1f1,"Lubbock, TX (USA)",3-May-14,1165
54,10.12,1.5,Richard KILTY,2-Sep-89,GBR,3f1,"Clermont, FL (USA)",10-May-14,1165
54,10.12,0.4,Adam HARRIS,21-Jul-87,GUY,1,Port-of-Spain (TTO),17-May-14,1165
54,10.12,1.4,Kimmari ROACH,17-Apr-89,JAM,6,"Blankers-Koen Stadion, Hengelo (NED)",8-Jun-14,1165
54,10.12,1.8,Justin WALKER,30-Nov-90,USA,4,"Eugene, OR (USA)",13-Jun-14,1165
54,10.12,0.3,Dwain CHAMBERS,5-Apr-78,GBR,1,Birmingham (GBR),29-Jun-14,1165
54,10.12,-0.1,Ryan BAILEY,13-Apr-89,USA,3,Linz (AUT),14-Jul-14,1165
62,10.13,0.8,Clayton VAUGHN,15-May-92,USA,1f1,"San Marcos, TX (USA)",26-Apr-14,1162
62,10.13,1.5,James ELLINGTON,6-Sep-85,GBR,2f1,"Clermont, FL (USA)",26-Apr-14,1162
62,10.13,0.7,Kei TAKASE,25-Nov-88,JPN,1f1,Hiroshima (JPN),29-Apr-14,1162
62,10.13,-0.3,Harry ADAMS,27-Nov-89,USA,1,"Houston, TX (USA)",6-Jun-14,1163
62,10.13,1.3,Mosito LEHATA,8-Apr-89,LES,1,Nancy (FRA),27-Jun-14,1162
62,10.13,1.7,Sean MCLEAN,23-Mar-92,USA,4sf2,"Sacramento, CA (USA)",27-Jun-14,1162
62,10.13,1.3,Churandy MARTINA,3-Jul-84,NED,1,Amsterdam (NED),26-Jul-14,1162
69,10.14,1.9,John TEETERS,19-May-93,USA,1f1,"Walnut, CA (USA)",18-Apr-14,1159
69,10.14,1.5,Adrian GRIFFITH,11-Nov-84,BAH,3f1,"Clermont, FL (USA)",26-Apr-14,1159
69,10.14,0.9,Odean SKEEN,28-Aug-94,JAM,1,"Mesa, AZ (USA)",17-May-14,1159
69,10.14,1.7,Daniel TALBOT,1-May-91,GBR,2f5,Bedford (GBR),31-May-14,1159
69,10.14,0.9,Sean SAFO-ANTWI,31-Oct-90,GBR,2f1,Regensburg (GER),7-Jun-14,1159
69,10.14,0.6,Oshane BAILEY,8-Sep-89,JAM,2f11,Kingston (JAM),7-Jun-14,1159
69,10.14,0.6,Remontay MCCLAIN,21-Sep-92,USA,1f4,"Chula Vista, CA (USA)",14-Jun-14,1159
69,10.14,0.7,Warren FRASER,8-Jul-91,BAH,2,Nassau (BAH),27-Jun-14,1159
69,10.14,0.1,Ryota YAMAGATA,10-Jun-92,JPN,1sf2,Kumagaya (JPN),5-Sep-14,1159
78,10.15,1.5,Reginald LEWIS,18-Aug-93,USA,2,"Austin, TX (USA)",29-Mar-14,1155
78,10.15,0.9,André DE GRASSE,10-Nov-94,CAN,2,"Mesa, AZ (USA)",17-May-14,1155
78,10.15,1.7,Kemar HYMAN,11-Oct-89,CAY,1f1,Cork (IRL),8-Jul-14,1155
78,10.15,2,Isidro MONTOYA,3-Nov-90,COL,1h1,Cali (COL),29-Aug-14,1155
82,10.16,1.3,Jevaughn MINZIE,20-Jul-95,JAM,2,Kingston (JAM),28-Mar-14,1152
82,10.16,1.5,Tevin HESTER,10-Jan-94,USA,3,"Austin, TX (USA)",29-Mar-14,1152
82,10.16,1.4,Cordero GRAY,9-May-89,USA,1f2,"Austin, TX (USA)",29-Mar-14,1152
82,10.16,1.3,David WINTERS,19-Feb-94,USA,1f1,"Wichita, KS (USA)",12-Apr-14,1152
82,10.16,1.4,Keith RICKS,9-Oct-90,USA,1,"Radford, VA (USA)",26-Apr-14,1152
82,10.16,1,Devin JENKINS,6-Feb-94,USA,2,"Atlanta, GA (USA)",16-May-14,1152
82,10.16,0,Brijesh LAWRENCE,27-Dec-89,SKN,3,Basseterre (SKN),22-Jun-14,1152
82,10.16,0.4,Rae Monzavous EDWARDS,7-May-81,NGR,3,"Le Grande Stade, Marrakesh (MAR)",11-Aug-14,1152
82,10.16,1.9,Ojie EDOBURUN,2-Jun-96,GBR,2sf1,Bedford (GBR),23-Aug-14,1152
91,10.17,1.8,Henrico BRUINTJIES,16-Jul-93,RSA,2sf3,Pretoria (RSA),11-Apr-14,1148
91,10.17,1.8,Emre Zafer BARNES,7-Nov-88,JAM,1f12,Kingston (JAM),24-May-14,1148
91,10.17,1.8,Yadier LUIS,1-Mar-89,CUB,1,La Habana (CUB),27-Jun-14,1148
91,10.17,0.7,Jak Ali HARVEY,4-May-89,TUR,4f2,"Guidobaldi, Rieti (ITA)",7-Sep-14,1148
91,10.17,0.2,Peimeng ZHANG,13-Mar-87,CHN,3sf2,Incheon (KOR),28-Sep-14,1148
96,10.18,1.8,Just'N THYMES,24-Jan-94,USA,1f1,"Riverside, CA (USA)",8-Mar-14,1145
96,10.18,0.8,Nic BOWENS,28-Jun-93,USA,1,"Laramie, WY (USA)",17-May-14,1145
96,10.18,0.8,Bryce ROBINSON,13-Nov-93,USA,3sf1,"Fayetteville, AR (USA)",30-May-14,1145
96,10.18,0.9,Deji TOBAIS,31-Oct-91,GBR,3f1,Regensburg (GER),7-Jun-14,1145
96,10.18,-0.8,Ogho-Oghene EGWERO,26-Nov-88,NGR,1f1,Warri (NGR),13-Jun-14,1149
1,9.77,-0.3,Usain BOLT,21-Aug-86,JAM,1,"Luzhniki, Moskva (RUS)",11-Aug-13,1288
2,9.85,-0.3,Justin GATLIN,10-Feb-82,USA,2,"Luzhniki, Moskva (RUS)",11-Aug-13,1260
3,9.87,1.8,Nesta CARTER,11-Oct-85,JAM,1f1,"Moratalaz, Madrid (ESP)",13-Jul-13,1252
4,9.9,0.4,Nickel ASHMEADE,7-Apr-90,JAM,1sf2,"Luzhniki, Moskva (RUS)",11-Aug-13,1241
4,9.9,0.6,Michael RODGERS,24-Apr-85,USA,2,"Boudewijnstadion, Bruxelles (BEL)",6-Sep-13,1241
6,9.91,1.1,James DASAOLU,5-Sep-87,GBR,1sf2,Birmingham (GBR),13-Jul-13,1238
7,9.93,0.4,Kemar BAILEY-COLE,10-Jan-92,JAM,2sf2,"Luzhniki, Moskva (RUS)",11-Aug-13,1231
8,9.95,0.3,Jimmy VICAUT,27-Feb-92,FRA,1,Paris (FRA),13-Jul-13,1224
9,9.96,-0.4,Dentarius LOCKE,12-Dec-89,USA,2,"Stade Louis II, Monaco (MON)",19-Jul-13,1222
10,9.97,2,Kim COLLINS,5-Apr-76,SKN,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",4-Jul-13,1217
11,9.98,1.9,Gabriel MVUMVURE,23-Feb-88,ZIM,1f1,"Montverde, FL (USA)",8-Jun-13,1213
11,9.98,1.1,Charles SILMON,4-Jul-91,USA,2,"Drake Stadium, Des Moines, IA (USA)",21-Jun-13,1213
13,9.99,0.3,Isiah YOUNG,5-Jan-90,USA,1h3,"Greensboro, NC (USA)",23-May-13,1210
13,9.99,0.7,Walter DIX,31-Jan-86,USA,1,"Guidobaldi, Rieti (ITA)",8-Sep-13,1210
15,10,0.4,Christophe LEMAITRE,11-Jun-90,FRA,4sf2,"Luzhniki, Moskva (RUS)",11-Aug-13,1206
15,10,0.4,Peimeng ZHANG,13-Mar-87,CHN,5sf2,"Luzhniki, Moskva (RUS)",11-Aug-13,1206
17,10.01,0.9,Yoshihide KIRYU,15-Dec-95,JPN,1h3,Hiroshima (JPN),28-Apr-13,1203
17,10.01,2,Antoine ADAMS,31-Aug-88,SKN,1,Basseterre (SKN),16-Jun-13,1203
17,10.01,2,Jason ROGERS,31-Aug-91,SKN,2,Basseterre (SKN),16-Jun-13,1203
17,10.01,1.1,Rakieem SALAAM,5-Apr-90,USA,4,"Drake Stadium, Des Moines, IA (USA)",21-Jun-13,1203
21,10.02,1.9,Ramon GITTENS,20-Jul-87,BAR,2f1,"Montverde, FL (USA)",8-Jun-13,1199
21,10.02,1.5,Warren WEIR,31-Oct-89,JAM,2f1,Kingston (JAM),8-Jun-13,1199
21,10.02,2,Kemar HYMAN,11-Oct-89,CAY,1f1,La Chaux-de-Fonds (SUI),7-Jul-13,1199
21,10.02,-0.3,Keston BLEDMAN,8-Mar-88,TTO,2h3,"Luzhniki, Moskva (RUS)",10-Aug-13,1200
25,10.03,1.7,Churandy MARTINA,3-Jul-84,NED,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",4-Jul-13,1196
26,10.04,1.9,Dwain CHAMBERS,5-Apr-78,GBR,1,Birmingham (GBR),13-Jul-13,1193
26,10.04,1.7,Jak Ali HARVEY,4-May-89,JAM,1,Ankara (TUR),24-Aug-13,1193
28,10.05,1.9,Aaron BROWN,27-May-92,CAN,2h1,"Eugene, OR (USA)",5-Jun-13,1189
29,10.06,1.9,Diondre BATSON,13-Jul-92,USA,1f1,"Athens, GA (USA)",13-Apr-13,1186
29,10.06,0.1,Bingtian SU,29-Aug-89,CHN,3,Beijing (CHN),21-May-13,1186
29,10.06,1.9,Derrick ATKINS,5-Jan-84,BAH,3f1,"Montverde, FL (USA)",8-Jun-13,1186
29,10.06,-0.3,Adam GEMILI,6-Oct-93,GBR,8,"Letzigrund, Zürich (SUI)",29-Aug-13,1187
33,10.07,0.2,Darvis PATTON,4-Dec-77,USA,2f2,"National Stadium, Kingston (JAM)",4-May-13,1182
33,10.07,1.6,Beejay LEE,5-Mar-93,USA,1,"Los Angeles, CA (USA)",12-May-13,1182
33,10.07,0.5,Jason LIVERMORE,25-Apr-88,JAM,2h1,Kingston (JAM),20-Jun-13,1182
33,10.07,1.7,Andrew FISHER,15-Dec-91,JAM,1h2,Morelia (MEX),5-Jul-13,1182
33,10.07,0,Jaysuma SAIDY NDURE,1-Jul-84,NOR,1f1,Luzern (SUI),17-Jul-13,1182
33,10.07,1,Martin KELLER,26-Sep-86,GER,1sr1,Weinheim (GER),2-Aug-13,1182
39,10.08,1.2,Samuel FRANCIS,27-Mar-87,QAT,5f,"Suhaim bin Hamad Stadium, Doha (QAT)",10-May-13,1179
39,10.08,0.1,Calesio NEWMAN,20-Aug-86,USA,4,Beijing (CHN),21-May-13,1179
39,10.08,1.9,Harry AIKINES-ARYEETEY,29-Aug-88,GBR,2,Birmingham (GBR),13-Jul-13,1179
39,10.08,0.5,Julian REUS,29-Apr-88,GER,1sr3,Weinheim (GER),2-Aug-13,1179
43,10.09,2,Alex QUIÑÓNEZ,11-Aug-89,ECU,1f1,Medellín (COL),25-May-13,1176
43,10.09,1.8,Marvin BRACY,15-Dec-93,USA,1,Lapinlahti (FIN),21-Jul-13,1176
45,10.1,1.6,Anaso JOBODWANA,30-Jul-92,RSA,2f3,"Greensboro, NC (USA)",24-May-13,1172
45,10.1,0.1,Joel FEARON,11-Oct-88,GBR,1h2,La Chaux-de-Fonds (SUI),7-Jul-13,1172
45,10.1,0,Richard KILTY,2-Sep-89,GBR,1,Hexham (GBR),31-Aug-13,1172
45,10.1,0.7,Ryan BAILEY,13-Apr-89,USA,3,"Guidobaldi, Rieti (ITA)",8-Sep-13,1172
49,10.11,0.7,Ryota YAMAGATA,10-Jun-92,JPN,1,Tokyo (JPN),8-Jun-13,1169
49,10.11,1.6,Jeff DEMPS,8-Jan-90,USA,1h5,"Montverde, FL (USA)",8-Jun-13,1169
49,10.11,1,Sheldon MITCHELL,19-Jul-90,JAM,1h3,Kingston (JAM),20-Jun-13,1169
52,10.12,1,Oshane BAILEY,8-Sep-89,JAM,2h3,Kingston (JAM),20-Jun-13,1165
52,10.12,1.8,Alex WILSON,19-Sep-90,SUI,1f1,Bulle (SUI),6-Jul-13,1165
52,10.12,0.8,Dontae RICHARDS-KWOK,1-Mar-89,CAN,1sr4,Weinheim (GER),2-Aug-13,1165
52,10.12,2,Julian FORTE,7-Jan-93,JAM,1f2,Dubnica nad Váhom (SVK),21-Aug-13,1165
56,10.13,1.9,Alonso EDWARD,8-Dec-89,PAN,1h3,"Clermont, FL (USA)",11-May-13,1162
56,10.13,0.1,Keith RICKS,9-Oct-90,USA,6,Beijing (CHN),21-May-13,1162
56,10.13,1.4,Andrew HINDS,25-Apr-84,BAR,1h4,Morelia (MEX),5-Jul-13,1162
59,10.14,1.6,Ameer WEBB,19-Mar-91,USA,1,"Austin, TX (USA)",30-Mar-13,1159
59,10.14,0.9,Darrell WESH,21-Feb-92,USA,2,"Raleigh, NC (USA)",20-Apr-13,1159
59,10.14,,Trayvon BROMELL,10-Jul-95,USA,1,"Charlotte, NC (USA)",25-Apr-13,1159
59,10.14,1,Sam EFFAH,29-Dec-88,CAN,2f1,"Los Angeles, CA (USA)",4-May-13,1159
59,10.14,1.9,Richard THOMPSON,7-Jun-85,TTO,4f1,"Montverde, FL (USA)",8-Jun-13,1159
59,10.14,0.5,Emre Zafer BARNES,7-Nov-88,JAM,4h1,Kingston (JAM),20-Jun-13,1159
59,10.14,1.9,Andrew ROBERTSON,17-Dec-90,GBR,3,Birmingham (GBR),13-Jul-13,1159
66,10.15,0.3,Jermaine HAMILTON,22-Oct-84,JAM,1f6,Montego Bay (JAM),9-Feb-13,1155
66,10.15,0.2,Hassan TAFTIAN,4-May-93,IRI,1,Almaty (KAZ),15-Jun-13,1155
66,10.15,1.5,Kimmari ROACH,17-Apr-89,JAM,3,Sotteville-lès-Rouen (FRA),8-Jul-13,1155
66,10.15,1.8,Ángel David RODRÍGUEZ,25-Apr-80,ESP,5f1,"Moratalaz, Madrid (ESP)",13-Jul-13,1155
70,10.16,,Frederick AGBADJE,1988,NGR,1f2,"Dickinson, ND (USA)",10-May-13,1152
70,10.16,1.1,Suwaibou SANNEH,10-Mar-90,GAM,1,"New York, NY (USA)",30-May-13,1152
70,10.16,0.7,José Carlos MOREIRA,28-Sep-83,BRA,1,São Paulo (BRA),6-Jun-13,1152
70,10.16,0.8,Adam HARRIS,21-Jul-87,GUY,1f1,"Colts Neck, NJ (USA)",8-Jun-13,1152
70,10.16,1.5,Denis DIMITROV,10-Feb-94,BUL,1,Pravets (BUL),15-Jun-13,1152
70,10.16,0.2,Reza GHASEMI,24-Jul-87,IRI,2,Almaty (KAZ),15-Jun-13,1152
70,10.16,0.9,Kenroy ANDERSON,27-Jun-87,JAM,2h2,Kingston (JAM),20-Jun-13,1152
70,10.16,1.2,Shavez HART,6-Sep-92,BAH,1h3,Morelia (MEX),5-Jul-13,1152
78,10.17,0,Jefferson LIBERATO,17-Oct-90,BRA,1,São Paulo (BRA),29-Jun-13,1148
78,10.17,0.8,James ELLINGTON,6-Sep-85,GBR,6,"Alexander Stadium, Birmingham (GBR)",30-Jun-13,1148
80,10.18,1.6,Aaron ERNEST,8-Nov-93,USA,2,"Austin, TX (USA)",30-Mar-13,1145
80,10.18,0.5,Markesh WOODSON,6-Sep-93,USA,3,"Columbia, SC (USA)",12-May-13,1145
80,10.18,-0.4,Jeff HENDERSON,19-Feb-89,USA,1,"Pueblo, CO (USA)",25-May-13,1147
80,10.18,1.5,Jason YOUNG,21-Mar-91,JAM,3f1,Kingston (JAM),8-Jun-13,1145
80,10.18,-1.6,Ogho-Oghene EGWERO,26-Nov-88,NGR,1,Calabar (NGR),20-Jun-13,1154
85,10.19,0,Ryan MILUS,19-Sep-90,USA,1,"Tempe, AZ (USA)",27-Apr-13,1142
85,10.19,0.1,Michael TUMI,12-Feb-90,ITA,1f1,Gavardo (ITA),19-May-13,1142
85,10.19,1,Dexter LEE,18-Jan-91,JAM,2h4,Kingston (JAM),20-Jun-13,1142
85,10.19,1.9,Mark LEWIS-FRANCIS,4-Sep-82,GBR,4,Birmingham (GBR),13-Jul-13,1142
85,10.19,0.4,Justyn WARNER,28-Jun-87,CAN,1sr2,Weinheim (GER),2-Aug-13,1142
85,10.19,0.3,Takumi KUKI,18-May-92,JPN,1sf2,Tokyo (JPN),6-Sep-13,1142
91,10.2,1.5,Dario HORVAT,25-Feb-92,CRO,1f1,"Azusa, CA (USA)",11-May-13,1138
91,10.2,1.4,Rasheed DWYER,29-Jan-89,JAM,3f1,Kingston (JAM),18-May-13,1138
91,10.2,0.5,Taffawee JOHNSON,10-Mar-88,JAM,5h1,Kingston (JAM),20-Jun-13,1138
91,10.2,0.7,Gavin SMELLIE,26-Jun-86,CAN,1h2,Toronto (CAN),7-Jul-13,1138
91,10.2,1.9,Josh SWARAY,2-Feb-86,GBR,5,Birmingham (GBR),13-Jul-13,1138
91,10.2,0.5,Sven KNIPPHALS,20-Sep-85,GER,2sr3,Weinheim (GER),2-Aug-13,1138
97,10.21,0.3,Everton CLARKE,24-Dec-92,JAM,2f6,Montego Bay (JAM),9-Feb-13,1135
97,10.21,0.2,Rondel SORRILLO,21-Jan-86,TTO,1,Baie Mahault (FRA),8-May-13,1135
97,10.21,1.1,Adam ZAVACKÝ,27-Jun-88,SVK,1,Hodonín (CZE),18-May-13,1135
97,10.21,1.3,Tevin HESTER,10-Jan-94,USA,1h4,"Greensboro, NC (USA)",23-May-13,1135
1,9.63,1.5,Usain BOLT,21-Aug-86,JAM,1,"Olympic Stadium, London (GBR)",5-Aug-12,1337
2,9.69,-0.1,Yohan BLAKE,26-Dec-89,JAM,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",23-Aug-12,1316
3,9.79,1.5,Justin GATLIN,10-Feb-82,USA,3,"Olympic Stadium, London (GBR)",5-Aug-12,1280
4,9.85,0.6,Asafa POWELL,23-Nov-82,JAM,2,"Bislett Stadion, Oslo (NOR)",7-Jun-12,1259
5,9.86,1.4,Keston BLEDMAN,8-Mar-88,TTO,1f2,Port-of-Spain (TTO),23-Jun-12,1255
5,9.86,1.8,Tyson GAY,9-Aug-82,USA,2,"Hayward Field, Eugene, OR (USA)",24-Jun-12,1255
7,9.88,1.5,Ryan BAILEY,13-Apr-89,USA,1h3,"Olympic Stadium, London (GBR)",4-Aug-12,1248
8,9.91,0.7,Churandy MARTINA,3-Jul-84,NED,2sf1,"Olympic Stadium, London (GBR)",5-Aug-12,1238
9,9.93,1.3,Nickel ASHMEADE,7-Apr-90,JAM,2,"Hayward Field, Eugene, OR (USA)",2-Jun-12,1231
10,9.94,1.8,Michael RODGERS,24-Apr-85,USA,4,"Hayward Field, Eugene, OR (USA)",24-Jun-12,1227
10,9.94,1.1,Michael FRATER,6-Oct-82,JAM,4,Kingston (JAM),29-Jun-12,1227
12,9.95,1.5,Nesta CARTER,11-Oct-85,JAM,2sf1,Kingston (JAM),29-Jun-12,1224
12,9.95,1.8,Kemar HYMAN,11-Oct-89,CAY,1h2,"Moratalaz, Madrid (ESP)",7-Jul-12,1224
14,9.96,1.4,Harry ADAMS,27-Nov-89,USA,1h2,"Des Moines, IA (USA)",6-Jun-12,1220
14,9.96,1.4,Richard THOMPSON,7-Jun-85,TTO,2f2,Port-of-Spain (TTO),23-Jun-12,1220
14,9.96,1.8,Darvis PATTON,4-Dec-77,USA,5,"Hayward Field, Eugene, OR (USA)",24-Jun-12,1220
17,9.97,0.3,Kemar BAILEY-COLE,10-Jan-92,JAM,3,"Boudewijnstadion, Bruxelles (BEL)",7-Sep-12,1217
18,9.98,1,Rakieem SALAAM,5-Apr-90,USA,1,"Auburn, AL (USA)",21-Apr-12,1213
19,9.99,0.4,Lerone CLARKE,7-Jul-81,JAM,3,"Suhaim bin Hamad Stadium, Doha (QAT)",11-May-12,1210
20,10,1.6,Marc BURNS,7-Jan-83,TTO,3f1,Luzern (SUI),17-Jul-12,1206
21,10.01,1.4,Kim COLLINS,5-Apr-76,SKN,4,"Letzigrund, Zürich (SUI)",30-Aug-12,1203
22,10.02,1.4,Andrew RILEY,6-Sep-88,JAM,2h2,"Des Moines, IA (USA)",6-Jun-12,1199
22,10.02,1.8,Trell KIMMONS,13-Jul-85,USA,6,"Hayward Field, Eugene, OR (USA)",24-Jun-12,1199
22,10.02,2,Dwain CHAMBERS,5-Apr-78,GBR,1h7,"Olympic Stadium, London (GBR)",4-Aug-12,1199
22,10.02,-0.1,Jimmy VICAUT,27-Feb-92,FRA,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",23-Aug-12,1199
26,10.03,1.3,Maurice MITCHELL,22-Dec-89,USA,1h3,"Des Moines, IA (USA)",6-Jun-12,1196
26,10.03,0.7,Walter DIX,31-Jan-86,USA,1h1,"Hayward Field, Eugene, OR (USA)",23-Jun-12,1196
26,10.03,1.4,Rondel SORRILLO,21-Jan-86,TTO,3f2,Port-of-Spain (TTO),23-Jun-12,1196
29,10.04,0.5,Travis PADGETT,13-Dec-86,USA,2f2,"Orlando, FL (USA)",26-May-12,1193
29,10.04,-0.1,Christophe LEMAITRE,11-Jun-90,FRA,3,"Stadio Olimpico, Roma (ITA)",31-May-12,1193
31,10.05,1.4,Charles SILMON,4-Jul-91,USA,3h2,"Des Moines, IA (USA)",6-Jun-12,1189
31,10.05,0.1,Adam GEMILI,6-Oct-93,GBR,1,"Estadio Olímpico, Barcelona (ESP)",11-Jul-12,1189
33,10.06,1.8,Simon MAGAKWE,14-May-86,RSA,1sf3,Johannesburg (RSA),27-Apr-12,1186
33,10.06,0.9,Jason ROGERS,31-Aug-91,SKN,1,Irapuato (MEX),6-Jul-12,1186
33,10.06,1,Jason YOUNG,21-Mar-91,JAM,1f2,Luzern (SUI),17-Jul-12,1186
33,10.06,1.5,Ben Youssef MEITÉ,11-Nov-86,CIV,2h3,"Olympic Stadium, London (GBR)",4-Aug-12,1186
37,10.07,0.4,Calesio NEWMAN,20-Aug-86,USA,1f2,Port-of-Spain (TTO),19-May-12,1182
37,10.07,1.5,Emmanuel CALLENDER,10-May-84,TTO,1f1,Rio de Janeiro (BRA),20-May-12,1182
37,10.07,1.3,Ryota YAMAGATA,10-Jun-92,JPN,2h6,"Olympic Stadium, London (GBR)",4-Aug-12,1182
40,10.08,1,Jak Ali HARVEY,4-May-89,JAM,4sf2,Kingston (JAM),29-Jun-12,1179
40,10.08,1.7,Derrick ATKINS,5-Jan-84,BAH,3sf3,"Olympic Stadium, London (GBR)",5-Aug-12,1179
42,10.09,1,Keenan BROCK,1-Jun-92,USA,3,"Auburn, AL (USA)",21-Apr-12,1176
42,10.09,1.4,Isiah YOUNG,5-Jan-90,USA,4h2,"Des Moines, IA (USA)",6-Jun-12,1176
42,10.09,1.3,Marcus ROWLAND,11-Mar-90,USA,3h3,"Des Moines, IA (USA)",6-Jun-12,1176
42,10.09,0.7,Julian REUS,29-Apr-88,GER,1f2,Weinheim (GER),27-Jul-12,1176
42,10.09,1.5,Justyn WARNER,28-Jun-87,CAN,3h3,"Olympic Stadium, London (GBR)",4-Aug-12,1176
47,10.1,1.8,Daniel BAILEY,9-Sep-86,ANT,5f1,"National Stadium, Kingston (JAM)",5-May-12,1172
47,10.1,1.5,Ramone MCKENZIE,15-Nov-90,JAM,1f1,"Clermont, FL (USA)",19-May-12,1172
47,10.1,1,Antoine ADAMS,31-Aug-88,SKN,1,Basseterre (SKN),3-Jun-12,1172
47,10.1,1.4,Aziz OUHADI,24-Jul-84,MAR,1,Brazzaville (CGO),10-Jun-12,1172
47,10.1,1.4,Jeff DEMPS,8-Jan-90,USA,2sf1,"Hayward Field, Eugene, OR (USA)",24-Jun-12,1172
52,10.11,1.5,Cordero GRAY,9-May-89,USA,2f1,"Clermont, FL (USA)",19-May-12,1169
52,10.11,1.3,Prezel HARDY,1-Jun-92,USA,4h3,"Des Moines, IA (USA)",6-Jun-12,1169
52,10.11,0.8,Joseph Obinna METU,12-Jul-88,NGR,1,Calabar (NGR),22-Jun-12,1169
52,10.11,1.9,Mario FORSYTHE,30-Oct-85,JAM,3f1,Szczecin (POL),21-Jul-12,1169
52,10.11,1,Gerald PHIRI,6-Oct-88,ZAM,5sf2,"Olympic Stadium, London (GBR)",5-Aug-12,1169
