Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
52,10.06,0,Kendal WILLIAMS,23-Sep-95,USA,2f1,"Athens, GA (USA)",30-Apr-16,1186
52,10.06,1,Bruno HORTELANO-ROIG,18-Sep-91,ESP,2,"Moratalaz, Madrid (ESP)",23-Jun-16,1186
52,10.06,2,Quentin BUTLER,18-Sep-92,USA,1,"Eugene, OR (USA)",29-Jul-16,1186
56,10.07,1.6,Warren WEIR,31-Oct-89,JAM,1f9,Kingston (JAM),16-Apr-16,1182
56,10.07,1,Andrew FISHER,15-Dec-91,BRN,4,"National Stadium, Kingston (JAM)",7-May-16,1182
56,10.07,1.9,Christopher BELCHER,29-Jan-94,USA,1,"Greensboro, NC (USA)",7-May-16,1182
56,10.07,1.6,Kenzo COTTON,13-May-96,USA,4sf3,"Eugene, OR (USA)",8-Jun-16,1182
56,10.07,2,Keston BLEDMAN,8-Mar-88,TTO,1f2,"Montverde, FL (USA)",11-Jun-16,1182
56,10.07,1.6,Jarrion LAWSON,6-May-94,USA,7,"Hayward Field, Eugene, OR (USA)",3-Jul-16,1182
56,10.07,1.5,Ramil GULIYEV,29-May-90,TUR,3sf1,"Olympisch Stadion, Amsterdam (NED)",7-Jul-16,1182
56,10.07,0,Christophe LEMAITRE,11-Jun-90,FRA,3sf3,"Estádio Olímpico, Rio de Janeiro (BRA)",14-Aug-16,1182
64,10.08,1.8,Gerald PHIRI,6-Oct-88,ZAM,4f1,"Montverde, FL (USA)",11-Jun-16,1179
64,10.08,1.8,Desmond LAWRENCE,19-Dec-91,USA,4f1,"Montverde, FL (USA)",11-Jun-16,1179
64,10.08,0.4,Everton CLARKE,24-Dec-92,JAM,6sf2,Kingston (JAM),1-Jul-16,1179
64,10.08,1.7,Sean MCLEAN,23-Mar-92,USA,4sf1,"Hayward Field, Eugene, OR (USA)",3-Jul-16,1179
64,10.08,1.7,Harry AIKINES-ARYEETEY,29-Aug-88,GBR,2sr1,Loughborough (GBR),16-Jul-16,1179
64,10.08,-0.1,Zhenye XIE,17-Aug-93,CHN,1h3,"Estádio Olímpico, Rio de Janeiro (BRA)",13-Aug-16,1179
64,10.08,0,Bingtian SU,29-Aug-89,CHN,4sf3,"Estádio Olímpico, Rio de Janeiro (BRA)",14-Aug-16,1179
71,10.09,1,Nethaneel MITCHELL-BLAKE,2-Apr-94,GBR,1f1,"Austin, TX (USA)",16-Apr-16,1176
71,10.09,0.7,Beejay LEE,5-Mar-93,USA,1f1,"Phoenix, AZ (USA)",21-May-16,1176
71,10.09,1.6,Ronnie BAKER,15-Oct-93,USA,5sf3,"Eugene, OR (USA)",8-Jun-16,1176
71,10.09,1.6,Daniel BAILEY,9-Sep-86,ANT,2f2,Kingston (JAM),11-Jun-16,1176
75,10.1,1.4,Rasheed DWYER,29-Jan-89,JAM,2f10,Kingston (JAM),16-Apr-16,1172
75,10.1,1.4,Zharnel HUGHES,13-Jul-95,GBR,3f10,Kingston (JAM),16-Apr-16,1172
75,10.1,0.7,Aska CAMBRIDGE,31-May-93,JPN,1h8,Kumagaya (JPN),21-May-16,1172
75,10.1,0.9,Serhiy SMELYK,19-Apr-87,UKR,2f2,Erzurum (TUR),12-Jun-16,1172
75,10.1,1.5,James DASAOLU,5-Sep-87,GBR,3,"Sports Park Mladost, Zagreb (CRO)",6-Sep-16,1172
80,10.11,0,Roberto SKYERS,12-Nov-91,CUB,1sf1,La Habana (CUB),27-May-16,1169
80,10.11,1.1,Henrico BRUINTJIES,16-Jul-93,RSA,2,"Stadion Juliska, Praha (CZE)",6-Jun-16,1169
80,10.11,2,Adrian GRIFFITH,11-Nov-84,BAH,2f2,"Montverde, FL (USA)",11-Jun-16,1169
80,10.11,1.7,Vitor Hugo DOS SANTOS,1-Feb-96,BRA,1sf1,Sao Bernardo do Campo (BRA),30-Jun-16,1169
