"species","full_name","sex","tail","tarsus","wing","nares_to_tip","gape","mass"
"rwbu","red-whiskered bulbul","u",80,19.9,82,8.9,9.8,25.5
"rwbu","red-whiskered bulbul","u",80,19.5,81,8.6,10.3,27
"rwbu","red-whiskered bulbul","u",70,19.1,74,8.2,11.1,24
"rble","red-billed leiothrix","u",55,23.9,67,7.6,9.1,22
"rble","red-billed leiothrix","u",52,23.7,63,7.5,8.7,21
"rwbu","red-whiskered bulbul","u",80,19.8,82,8.9,9.7,27
"rwbu","red-whiskered bulbul","u",71,20.1,77,9.4,10.8,25
"jawe","Japanese white-eye","u",42,17.6,60,7.8,7.1,11
"jawe","Japanese white-eye","u",43,18.3,59,7.4,6.7,10
"rble","red-billed leiothrix","u",57,22.9,68,7.6,9.1,20
"rble","red-billed leiothrix","u",59,23.6,68,8.1,10.5,20
"wrsh","white-rumped shama","m",127,27.1,92,11.1,NA,32.5
"wrsh","white-rumped shama","f",117,24.1,83,10.4,NA,26
"rble","red-billed leiothrix","u",54,23,68,7.6,8.9,23
"rble","red-billed leiothrix","u",58,24.2,70,7.8,9.8,22
"jawe","Japanese white-eye","u",42,17.9,59,7.6,NA,11
"jawe","Japanese white-eye","u",42,17.8,59,7.7,NA,12
"jawe","Japanese white-eye","u",42,17.5,59,8.2,8.7,11
"jawe","Japanese white-eye","u",42,17.8,58,7.6,5.8,15
"rble","red-billed leiothrix","u",55,24,66,NA,NA,21
"rble","red-billed leiothrix","u",55,23,67,7.5,9.1,22
"rble","red-billed leiothrix","u",57,24.8,71,7.8,8.8,22
"rble","red-billed leiothrix","u",58,18.9,67,7.1,9.2,18
"rble","red-billed leiothrix","u",57,23.3,68,8.1,9.9,23
"rble","red-billed leiothrix","u",60,24.6,71,7.8,9.3,22
"rble","red-billed leiothrix","u",61,23.5,70,8,8.8,21
"rble","red-billed leiothrix","u",54,22.7,69,8.2,8.5,20.5
"rble","red-billed leiothrix","u",55,24.4,69,8.2,8.9,22
"rble","red-billed leiothrix","u",59,23.5,71,7.6,9.9,21
"rble","red-billed leiothrix","u",59,23,74,7.9,8.5,22
