site,date,species,band_number,colors,sex,tail,tarsus,wing,total_culmen,nares_to_tip,width,depth,gape,mass_bird_bag,mass_bag,mass
MOA,12/3/2015,rble,274128385,dwgs,u,56,22.2,70,NA,NA,NA,NA,NA,49,28,21
MOA,12/3/2015,rble,274128386,dygs,u,54,22.2,65.5,NA,NA,NA,NA,NA,46,24.5,21.5
MOA,12/3/2015,rwbu,274128388,gros,u,76,21,86,18,8.4,5.5,4.9,10.6,51,26,25
MOA,12/3/2015,rble,274128389,gdgs,u,55,22.5,65,NA,NA,NA,NA,NA,44,24,20
WAI,12/3/2015,rble,274128559,dsor,u,56,24,70,13.5,7.5,5.2,4.8,7.8,56,33,23
MOA,12/3/2015,jawe,275036760,dsod,u,41,17.4,58.5,11.8,8.1,4,3.2,6.5,37,26,11
MOA,12/3/2015,jawe,275036761,dsog,u,NA,17.4,57,12.3,7.8,3.9,3.3,6.6,35,25,10
MOA,12/3/2015,jawe,275036764,dsow,u,40,17.9,57.5,NA,NA,NA,NA,NA,36,25,11
WAI,12/3/2015,jawe,275036894,yogs,u,41,18,59,14.1,7,3.9,3.5,8.3,37.5,25,12.5
EKA,12/9/2015,rble,274128390,dsry,u,58,21.4,70,14.5,7.8,4.4,5.1,9.5,48,24.5,23.5
EKA,12/9/2015,rble,274128393,dsyy,u,NA,24.9,67,NA,NA,NA,NA,NA,48,24,24
EKA,12/9/2015,rble,274128394,ddds,u,59,24.3,68,NA,NA,NA,NA,NA,45.5,24,21.5
EKA,12/9/2015,jawe,275036771,ysog,u,42,17.3,59,NA,NA,NA,NA,NA,34,23,11
PAH,12/15/2015,rble,274128396,ggrs,u,NA,22.7,68,15.1,7.1,4.9,4.6,9.1,51,26,25
MOA,12/15/2015,rble,274128566,gwgs,u,59,23.8,71,NA,NA,NA,NA,NA,50,27,23
PAH,12/16/2015,rble,274128397,rgos,u,49,22.7,65,13.2,7.2,4.7,4.6,8.4,46,25,21
PAH,12/17/2015,rble,274128398,roos,u,51,23.6,65,14.3,7.3,5.1,4.9,8.3,49,26,23
PAH,12/17/2015,rble,274128400,rros,u,57,23.8,70,14.4,7.9,5.1,5.3,9.6,52.5,29.5,23
PAH,12/17/2015,rble,NA,xxxx,u,NA,NA,NA,NA,NA,NA,NA,NA,49,25,24
WAI,1/13/2016,rble,274128415,dsrg,u,69,23.6,56,NA,NA,NA,NA,NA,50,26,24
WAI,1/13/2016,rwbu,274128416,gwos,u,75,19.2,79,16.1,9.2,5.2,4.8,9.1,43,19,24
WAI,1/13/2016,rble,274128417,dsro,u,50,25.1,66,11.9,7.6,4.9,5.5,9.2,51,26,25
WAI,1/13/2016,rble,274128418,dsrr,u,55,23,65,NA,NA,NA,NA,NA,40,19,21
WAI,1/13/2016,jawe,275036782,yrgs,u,39,16.1,57,NA,NA,NA,NA,NA,34.5,23,11.5
WAI,1/13/2016,jawe,275036786,yygs,u,42,18,58,NA,NA,NA,NA,NA,38,25,13
PAH,1/13/2016,jawe,275036896,yggs,u,40,17.6,57,NA,NA,NA,NA,NA,36.5,25,11.5
WAI,1/14/2016,rble,274128420,dsry,u,55,24.6,65,NA,NA,NA,NA,NA,49,26,23
WAI,1/14/2016,rble,274128421,dswd,u,56,21.1,67,NA,NA,NA,NA,NA,48,26,22
WAI,1/14/2016,rble,274128422,dswg,u,58,23.6,68,NA,NA,NA,NA,NA,50,26,24
WAI,1/14/2016,rble,274128423,dswo,u,56,22.4,66,NA,NA,NA,NA,NA,46,23,23
WAI,1/14/2016,rble,274128424,dswr,u,53,23.4,66,NA,NA,NA,NA,NA,47,25,22
WAI,1/14/2016,rble,274128425,dsww,u,55,23.2,68.5,NA,NA,NA,NA,NA,45,23,22
PAH,1/17/2016,jawe,275036897,yogs,u,44,17.1,60,14.5,8.6,4.6,3.9,8.6,37,25,12
MOA,1/20/2016,rble,274128427,gygs,u,56,23,65,14.3,7.8,5.4,4.9,8.5,46,26,20
MOA,1/20/2016,rble,274128428,odgs,u,55,23,70,NA,NA,NA,NA,NA,46,25,21
MOA,1/20/2016,rble,274128430,oygs,u,50,25,58,NA,NA,NA,NA,NA,45,23,22
MOA,1/20/2016,rble,274128431,rdgs,u,60,24.2,70,NA,NA,NA,NA,NA,50,26.5,23.5
MOA,1/20/2016,rble,274128432,rwgs,u,53,23.5,69,NA,NA,NA,NA,NA,50,27,23
MOA,1/20/2016,rwbu,274128433,gyos,u,81,19.9,81,16.5,9.3,5.1,5.6,11.9,46,18,28
MOA,1/20/2016,rwbu,274128434,odos,u,75,20.1,79,15.9,8.4,5.3,4.8,11.5,53,28,25
MOA,1/20/2016,jawe,277029646,dsrg,u,40,18,56,14,7.8,4,3.7,7.2,35,23,12
MOA,1/21/2016,rble,274128435,rygs,u,53,24.2,67,13.5,7.6,5,5,10.2,50,28,22
MOA,1/21/2016,rble,274128437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOA,1/21/2016,rble,274128438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOA,1/21/2016,rble,274128439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOA,1/21/2016,rble,274128440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOA,1/21/2016,rble,274128441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOA,1/21/2016,rble,274128442,wogs,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,23,22
MOA,1/21/2016,jawe,275036789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOA,1/21/2016,jawe,275036790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOA,1/31/2016,rble,274128567,wwgs,u,55,23.6,65,NA,NA,NA,NA,NA,39,18,21
WAI,2/1/2016,rwbu,274128568,gsrr,u,78,18.1,78,NA,9,5.5,5.2,11.4,48,25,23
EKA,2/3/2016,wrsh,274128446,ggrs,f,105,24.1,82,17.8,10.5,4.7,4.8,12,51,26,25
EKA,2/3/2016,jawe,275036794,ysor,u,41,17.7,60,14.5,7.9,3.8,3.7,7.2,36,25,11
PAH,2/4/2016,jawe,278048253,xxxq,u,42,18,58,14.2,7.7,3.7,3.3,9,NA,23,NA
EKA,2/4/2016,rwbu,274128447,ogos,u,82,20.1,84,16.6,9.2,5.5,5.1,11.5,42,17,25
EKA,2/4/2016,rble,274128448,dxds,u,NA,NA,NA,NA,NA,NA,NA,NA,47,26,21
EKA,2/4/2016,rble,274128449,dggs,u,55,25,69,15,7.9,5.5,5.5,10,47,25,22
EKA,2/4/2016,rble,274128450,dods,u,58,24.4,69,13.5,7.8,4.8,4.5,9.5,45,25,20
EKA,2/4/2016,jawe,275036798,drds,u,40,18.6,57,14.4,7.7,4.3,3.8,8.3,36,24,12
PAH,2/11/2016,jawe,275036800,yrgs,u,40,17.8,57,13.5,7.8,4,3.6,9.4,35,24,11
PAH,2/11/2016,rble,NA,NA,u,56,24.3,69,14,7.4,4.9,5.3,9.9,46,24,22
PAH,3/1/2016,jawe,275036900,xxxs,u,43,17.1,59,13.5,7.7,4.5,3.6,6.7,35.5,25,10.5
WAI,3/2/2016,rble,274128461,dsyr,u,57,25,69,14.1,7.9,4.8,4.8,9.3,52,28,24
WAI,3/2/2016,rble,274128462,dsyy,u,55,21.7,61,11.8,7,5.2,5.2,10.1,45,25,20
WAI,3/2/2016,rble,274128463,osdd,u,57,24.6,68,14.3,7.3,5.3,5,10.1,52,29,23
WAI,3/2/2016,jawe,278048217,gsdd,u,44,18.2,57,NA,NA,NA,NA,NA,28,15,13
WAI,3/2/2016,jawe,278048219,gswd,u,42,17.9,58,NA,NA,NA,NA,NA,35,23,12
WAI,3/2/2016,jawe,278048220,dsyw,u,43,16.8,57,14.6,7.2,4.2,3.5,7.5,36,21,15
WAI,3/2/2016,jawe,278048222,dsrg,u,40,17.2,67,13.7,8.4,3.9,4.1,7,33,23,10
WAI,3/2/2016,jawe,278048224,dsro,u,40,17,57,13.9,8.2,4.2,3.6,7.4,34,23,11
WAI,3/2/2016,jawe,278048226,gswo,u,42,16.1,60,12.3,8.9,4.5,3.7,7.1,34,23,11
WAI,3/3/2016,rwbu,274128320,oros,u,84,18.6,83,16.6,9.2,5.5,4.9,10.7,51,26,25
WAI,3/3/2016,wrsh,274128464,gors,f,106,25.6,86,17.4,10.4,5.3,5.2,12.8,58,29,29
WAI,3/3/2016,rwbu,274128465,ooos,u,79,20.3,80,17.2,9.3,5.4,5,9.6,51,21,30
WAI,3/3/2016,rwbu,274128466,owos,u,75,20.5,79,16.9,8.7,5.4,4.9,13.4,53,25,28
WAI,3/3/2016,rwbu,274128467,oyos,u,81,19.2,80,NA,NA,NA,NA,NA,53,24,29
WAI,3/3/2016,rble,274128468,osdg,u,58,23.2,69,13.5,7.5,5,5,9,46,24,22
WAI,3/3/2016,rble,274128469,osdo,u,53,22.9,66,NA,NA,NA,NA,NA,46,24,22
MOA,3/3/2016,rble,274128583,xxxs,u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAI,3/3/2016,jawe,278048227,dsrr,u,40,17.8,59,NA,NA,NA,NA,NA,40,28,12
WAI,3/3/2016,jawe,278048228,dsry,u,42,17,60,13.4,8.4,4.1,3.5,6.7,37,25.5,11.5
WAI,3/3/2016,jawe,278048230,dsyg,u,42,17.1,56,15.4,7.9,4.4,3.4,7.4,34,23,11
MOA,3/4/2016,rble,274128584,xxxs,u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOA,3/4/2016,rble,274128586,xxxs,u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOA,3/5/2016,rble,274128585,wygs,u,56,24.1,67,14.1,7.5,4.8,4.8,9.8,54,33.5,20.5
PAH,3/5/2016,rble,274128587,xxxs,u,55,24.2,66,13.5,7.6,4.9,5.2,8.9,54,29,25
PAH,3/5/2016,rble,274128588,xxxs,u,58,24,70,14.3,7.9,5.1,5.4,9,45,14,NA
PAH,3/5/2016,jawe,278048304,xxxs,u,43,17.5,58,14.2,7.2,3.5,4.2,7.3,36,25,11
PAH,3/5/2016,jawe,278048305,xxxs,u,43,18,57,14.1,7.7,4.2,3.5,8.5,38,27,11
WAI,3/7/2016,rwbu,265144531,xxxs,u,80,19.2,82,NA,NA,NA,NA,NA,53,25,28
WAI,3/7/2016,rble,274128594,xsxx,u,52,25,66,NA,NA,NA,NA,NA,49,27,22
WAI,3/7/2016,rble,274128595,xsxx,u,53,23.1,65,13.6,7.2,4.9,5.6,10.6,30,7,23
WAI,3/7/2016,rble,274128596,xxxs,u,57,23.9,67,NA,NA,NA,NA,NA,44,24,20
WAI,3/7/2016,rble,274128597,xsxx,u,50,22.6,67,NA,NA,NA,NA,NA,47,26,21
WAI,3/7/2016,rble,274128598,xxxs,u,56,23.7,68,NA,NA,NA,NA,NA,45,26,19
WAI,3/7/2016,rwbu,274128599,xxxs,u,79,19.6,78,NA,NA,NA,NA,NA,52,25,27
WAI,3/7/2016,rwbu,274128600,xxxs,u,75,18,79,NA,NA,NA,NA,NA,49,25,24
WAI,3/7/2016,jawe,278048306,xsox,u,43,18.1,59,14.4,7.5,NA,NA,NA,36,25,11
WAI,3/7/2016,jawe,278048307,xsxx,u,40,17.2,58,13.8,8,4.6,3.4,5.5,36,24,12
WAI,3/7/2016,jawe,278048308,xsxx,u,42,18.1,58,NA,NA,NA,NA,NA,36,24.5,11.5
MOA,3/9/2016,rwbu,265144436,rbos,u,72,20,82,15.8,10.9,5.7,5.1,12.2,55,25,30
MOA,3/9/2016,rble,274128471,ydgs,u,52,22.6,66,13.6,7.6,4.8,4.8,11.3,44,23,21
MOA,3/9/2016,rble,274128472,yogs,u,52,21.7,64,13.4,7.2,5,4.8,8.5,42.5,24,18.5
MOA,3/9/2016,rble,274128473,ywgs,u,57,23.4,68,14.3,8,5.4,5,10.3,46.5,27,19.5
MOA,3/9/2016,rble,274128474,yygs,u,56,23.3,66,13.6,7.2,4.7,5,10.3,44.5,22,22.5
MOA,3/9/2016,rble,274128475,ddos,u,57,24.7,68,NA,NA,NA,NA,NA,47,26,21
MOA,3/9/2016,rble,274128476,dgos,u,56,NA,69,14.6,7.5,5.1,4.5,9,50,28,22
MOA,3/9/2016,rble,274128478,dros,u,55,23.7,69,14.4,8.8,4.7,4.5,9.6,47,23,24
MOA,3/10/2016,rble,274128479,dwos,u,54,22.5,64,NA,NA,NA,NA,NA,40,23,17
MOA,3/10/2016,rble,274128480,rsdd,u,59,26.2,68,NA,NA,NA,NA,NA,46,23,23
MOA,3/10/2016,rble,274128481,rsdg,u,56,23.2,66,NA,NA,NA,NA,NA,40.5,21.5,19
MOA,3/10/2016,rble,274128482,rsdr,u,53,23.9,67,NA,NA,NA,NA,NA,43,23,20
MOA,3/10/2016,rble,274128483,rsdw,u,54,24,62,NA,NA,NA,NA,NA,47,26,21
MOA,3/10/2016,rble,274128484,rsdy,u,53,NA,67,NA,NA,NA,NA,NA,52,29,23
MOA,3/10/2016,rble,274128485,rsgb,u,55,23.2,68,NA,NA,NA,NA,NA,43,22,21
MOA,3/10/2016,rble,274128486,rsgg,u,NA,23.4,69,NA,NA,NA,NA,NA,45,22,23
MOA,3/10/2016,rble,274128487,rsgr,u,53,24.6,66,NA,NA,NA,NA,NA,44,24,20
MOA,3/10/2016,rwbu,274128488,yrrs,u,76,19.7,78,17.2,9,5.7,4.7,12.1,48,23,25
MOA,3/10/2016,rble,274128489,rsgw,u,58,23.9,69,14.2,7.4,5.7,5.3,9.7,47,24,23
MOA,3/10/2016,rble,274128490,rsgy,u,52,24.3,66,NA,NA,NA,NA,NA,43.5,23,20.5
WAI,3/10/2016,rble,274144801,dsyw,u,53,25.2,66,NA,NA,NA,NA,NA,45,25,20
WAI,3/10/2016,jawe,278048310,dsyy,u,41,17.3,60,14.3,7.8,4.5,3.7,7.5,36,25,11
WAI,3/14/2016,rble,274144802,osoo,u,55,23.5,70,12,7.5,5.3,5.6,8.7,44,25,19
WAI,3/14/2016,jawe,278048401,ysoo,u,39,18.5,56,14.5,NA,NA,NA,7.4,36,25,11
WAI,3/14/2016,jawe,278048402,ysdo,u,39,17.9,58,12.7,8.4,4.1,3.5,7.6,40,29,11
PAH,3/15/2016,wrsh,274144803,ysoo,f,100,25.7,85,18.6,11.3,5.4,NA,13.8,50,25,25
MOA,3/16/2016,jawe,278048403,dsro,u,37,17.4,59,14.9,7.8,3.5,3.6,NA,36,26,10
WAI,3/17/2016,wrsh,274144805,ysdr,f,106,25.5,83,16.1,10.4,5.6,4.9,12,52,25,27
WAI,3/17/2016,jawe,278048404,ysrd,u,42,18.9,57,13.9,7.7,4.5,3.6,7.7,39,27,12
WAI,3/21/2016,rble,274128498,osdr,u,56,24.3,66.5,11,NA,NA,NA,NA,45,25,20
WAI,3/21/2016,jawe,278048231,ysdd,u,41,16.2,68.5,NA,NA,NA,NA,NA,35,25,10
EKA,3/23/2016,rble,247128494,dyds,u,52,25.4,67,14.7,8.1,5.4,5.4,9.8,45,25,20
EKA,3/23/2016,rble,274128493,dwds,u,56,22.6,74,14.4,7.7,5.2,6,8.9,45,25,20
EKA,3/23/2016,rble,274128496,gdds,u,61,24.1,65,14.1,7.4,5,5.2,10.3,54,33,21
MOA,3/23/2016,rble,274144806,gdos,u,55,23.4,66,11.2,7.6,5,5.1,8.5,48,27,21
EKA,3/23/2016,jawe,278048232,ysoy,u,41,18.2,59,15.3,7.5,4.4,3.9,7.6,36,25,11
EKA,3/23/2016,jawe,278048233,dwds,u,40,16.5,57,14.5,7.2,4.2,3.4,6.9,34,24,10
EKA,3/23/2016,jawe,278048234,dyds,u,41,17.6,58,14.8,7.2,3.8,3.1,6.6,35,24,11
EKA,3/23/2016,jawe,278048235,dsdd,u,40,16.9,57,15.3,8,4.7,4.6,8.2,35,25,10
EKA,3/23/2016,jawe,278048236,gdds,u,40,15.5,55,NA,NA,NA,NA,NA,34,24,10
EKA,3/23/2016,jawe,278048237,ggds,u,42,17,60,NA,NA,NA,NA,NA,37,26,11
EKA,3/23/2016,jawe,278048238,gods,u,39,17.7,56,14.7,8,4.1,2.9,8.6,36,24,12
EKA,3/24/2016,rble,247128500,ggrs,u,55,23.3,65,14.6,8.2,5.6,5,9.5,48,27,21
EKA,3/24/2016,rble,247144701,grds,u,55,22.9,67,NA,NA,NA,NA,NA,44,25,19
EKA,3/24/2016,rble,274144702,gwds,u,55,24.1,68,13.9,7.4,5,4.9,11.6,46,25,21
EKA,3/24/2016,wrsh,274144703,grrs,m,137,26.5,90,20.5,11.9,6,5.7,12.4,40,18,22
EKA,3/24/2016,rble,274144704,gyds,u,59,23.4,69,NA,NA,NA,NA,NA,47,25,22
EKA,3/24/2016,jawe,278048239,grds,u,43,17,59,14.7,8.1,4.6,3.5,7.1,37,24,13
EKA,3/24/2016,jawe,278048240,gwds,u,42,17.4,57,12.6,8.3,4.5,3.3,6.8,40.5,30,10.5
EKA,3/24/2016,wrsh,365144437,gwrs,f,94,23.4,87,17.1,10.6,5.9,4.9,12.7,49,25,24
MOA,3/28/2016,rble,274144601,rsry,u,59,24.5,69,NA,NA,NA,NA,NA,49,23,26
MOA,3/28/2016,rble,274144602,rswd,u,56,23.4,64,NA,NA,NA,NA,NA,47,26,21
MOA,3/28/2016,rble,274144603,rswg,u,53,23.2,66,NA,NA,NA,NA,NA,35,16,19
MOA,3/28/2016,rble,274144604,rswo,u,55,24,68,NA,NA,NA,NA,NA,48,26,22
MOA,3/28/2016,rble,274144605,rswr,u,57,23.2,69,NA,NA,NA,NA,NA,38,17,21
MOA,3/28/2016,rwbu,274144606,dgrs,u,82,18.6,84,16,8.9,5.2,4.9,11.3,48,18,30
MOA,3/28/2016,rble,274144607,rsww,u,58,24.1,67,NA,NA,NA,NA,NA,43,24,19
MOA,3/28/2016,rble,274144784,rros,u,55,24,64,12.8,7.1,6.5,6.7,10,46,26,20
MOA,3/28/2016,rble,274144785,rwos,u,58,23.2,69,NA,NA,NA,NA,NA,46,25,21
MOA,3/28/2016,rble,274144786,ryos,u,55,23.3,69,NA,NA,NA,NA,NA,46,27,19
MOA,3/28/2016,rble,274144788,wgos,u,54,23.3,65,12.2,6.8,5.5,5.5,8,44,25,19
MOA,3/28/2016,rble,274144789,woos,u,58,23.6,69,14,7.3,5.4,4.7,8.9,51,31,20
MOA,3/28/2016,rwbu,274144790,wgos,u,69,19.8,81,16.8,8.9,5.8,4.9,10.7,53,24,29
MOA,3/28/2016,rwbu,274144791,woos,u,78,19.5,79,NA,NA,NA,NA,NA,62,36,26
MOA,3/28/2016,rwbu,274144792,wros,u,80,20.4,81,NA,NA,NA,NA,NA,54,26,28
MOA,3/28/2016,rwbu,274144793,wwos,u,73,18,76,NA,NA,NA,NA,NA,55,25,30
MOA,3/28/2016,rwbu,274144794,wyos,u,70,20.9,76,NA,NA,NA,NA,NA,56,28,28
MOA,3/28/2016,rwbu,274144795,ddrs,u,NA,20.2,81,NA,NA,NA,NA,NA,57,27,30
MOA,3/28/2016,rble,274144796,rsrd,u,58,NA,74,NA,NA,NA,NA,NA,48,26,22
MOA,3/28/2016,rble,274144797,rsrg,u,54,23.5,65,13,6.7,4.8,4.7,7.5,47,26,21
MOA,3/28/2016,rble,274144798,rsro,u,54,24.5,62,NA,NA,NA,NA,NA,45,26,19
MOA,3/28/2016,rble,274144799,rsrr,u,57,24.8,66,NA,NA,NA,NA,NA,46,25,21
MOA,3/28/2016,rble,274144800,rsrw,u,60,24.1,69,NA,NA,NA,NA,NA,48,26,22
MOA,3/28/2016,rble,NA,xxxx,u,NA,NA,NA,NA,NA,NA,NA,NA,47,25,22
PAH,3/30/2016,rble,274144711,ddws,u,55,22.1,66.5,12.1,7.8,5.4,4.6,8.8,43,25,18
PAH,3/30/2016,rble,274144712,dgws,u,58,25.1,63,14.4,8.2,5.2,5.2,9.6,47,25,22
PAH,3/30/2016,rble,274144713,dows,u,54,22.9,65,11.9,7.5,5.2,4.7,8.9,45,23,22
PAH,3/30/2016,jawe,278048247,ddos,u,39,17.1,59,14,7.5,4.1,3.8,6.1,33.5,25,8.5
PAH,3/30/2016,jawe,278048248,ddrs,u,41,17.2,58,NA,NA,NA,NA,NA,33,23,10
PAH,3/31/2016,rble,274144714,drws,u,53,23.1,65,13.5,7.7,5.5,4.9,7.7,46,26,20
PAH,3/31/2016,rwbu,274144715,rros,u,78,20,77,15.9,7.9,5.5,4.7,10.2,51.5,26,25.5
PAH,3/31/2016,jawe,278048249,dgos,u,41,17.2,59,NA,NA,NA,NA,NA,36.5,26,10.5
PAH,3/31/2016,jawe,278048250,ddys,u,43,16.9,58,14.4,7.8,4.9,4,6.8,40,30,10
PAH,3/31/2016,jawe,278048251,dgrs,u,41,17.9,56,14.7,7.2,4.7,3.3,7.7,34,24.5,9.5
MOA,4/3/2016,rwbu,274144730,xxxq,u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOA,4/3/2016,rble,274144731,xxxq,u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOA,4/3/2016,rwbu,274144732,xxxq,u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOA,4/3/2016,wrsh,274144733,xxxq,u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOA,4/3/2016,rwbu,274144734,xxxq,u,80,21.9,89,NA,NA,NA,NA,NA,48,25,23
MOA,4/3/2016,rble,274144735,ggos,u,59,23.5,69,NA,NA,NA,NA,NA,28,6,22
MOA,4/3/2016,rble,274144736,goos,u,58,23.7,69,NA,NA,NA,NA,NA,59,39,20
MOA,4/3/2016,rble,274144718,xxxq,u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOA,4/3/2016,rble,274144721,xxxq,u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOA,4/3/2016,rwbu,274144720,xxxq,u,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MOA,4/3/2016,jawe,278048254,dsrr,u,40,17.2,59,NA,NA,NA,NA,NA,49,39,10
PAH,4/4/2016,wrsh,274144737,ysdw,m,144,24.9,91,18.8,11.3,5.3,5.3,13.7,52,21.5,30.5
WAI,4/8/2016,rble,274144807,osdw,u,56,NA,66,NA,7.7,4.1,4.9,10.6,45,25,20
WAI,4/8/2016,rwbu,274144808,gsww,u,78,22.1,81,NA,NA,NA,NA,NA,55,27,28
WAI,4/8/2016,rwbu,274144809,gswy,u,80,19.2,79,NA,NA,NA,NA,NA,51,26,25
WAI,4/8/2016,rwbu,274144810,xxxq,u,NA,NA,NA,NA,NA,NA,NA,NA,52,26,26
EKA,4/13/2016,rble,274144811,xxxq,u,56,24.6,64.5,14.1,7.3,5.5,5.8,9.9,46,25,21
PAH,4/15/2016,rble,274144812,wgws,u,55,23.4,68,13.9,NA,NA,NA,NA,45,26,19
MOA,4/16/2016,rble,274144752,gros,u,55,23.9,65.5,NA,NA,NA,NA,NA,43,21,22
MOA,4/16/2016,rble,274144753,gyos,u,54,23.6,69,14.3,7.5,5.7,4.8,8.7,44,24,20
MOA,4/16/2016,rble,274144755,ogos,u,61,23.5,70,NA,NA,NA,NA,NA,45.5,26,19.5
MOA,4/16/2016,rwbu,274144758,xxxq,u,NA,18.5,75,15.1,7.9,4.8,4.4,10.9,52,26,26
MOA,4/16/2016,rwbu,274144759,xxxq,u,76,20.5,80,17.2,8.9,5.5,5,11.4,55,29,26
MOA,4/16/2016,wrsh,274144760,xxxq,f,103,24.2,87,NA,NA,NA,NA,NA,54,30,24
MOA,4/16/2016,rble,274144761,oros,u,54,23.2,62,13.7,7.7,5.2,4.9,10.9,47.5,28,19.5
MOA,4/16/2016,rwbu,274144762,xxxq,u,62,19.5,72,15.4,8.5,5.5,4.8,10.3,51,27,24
MOA,4/16/2016,rwbu,274144763,xxxq,u,74,20.1,77,15.6,8.4,6.1,4.9,11,47,23,24
MOA,4/16/2016,rwbu,274144766,xxxq,u,72,19.4,71,NA,NA,NA,NA,NA,47,24,23
MOA,4/16/2016,rwbu,274144767,xxxq,u,71,18.9,76,NA,NA,NA,NA,NA,61,33.5,27.5
MOA,4/16/2016,rwbu,274144768,xxxq,u,79,18.9,85,NA,NA,NA,NA,NA,57,24,33
MOA,4/16/2016,rwbu,274144769,xxxq,u,78,19.4,78,NA,NA,NA,NA,NA,64.5,26,NA
MOA,4/16/2016,rwbu,274144770,xxxq,u,76,20.5,81,NA,NA,NA,NA,NA,50,NA,NA
MOA,4/16/2016,rwbu,274144771,xxxq,u,74,18.9,77,NA,NA,NA,NA,NA,57,31,26
MOA,4/16/2016,rwbu,274144772,xxxq,u,77,19,75,12.1,7.1,5.3,4.6,11.3,42,17,25
MOA,4/16/2016,rble,NA,xxxx,u,52,23.5,69,14.1,7.8,4.9,5.1,9.8,28,7,21
MOA,4/16/2016,rwbu,NA,xxxx,u,72,18.9,74,NA,NA,NA,NA,NA,54,31,23
WAI,4/20/2016,rble,274144813,osdy,u,55,24.8,68,14.8,8.4,5.5,5.1,9.8,54,32,22
WAI,4/20/2016,wrsh,274144814,gyrs,f,97,23.5,80,17.4,9.9,5.2,4.7,12.7,52,26,26
WAI,4/20/2016,rble,274144815,osgd,u,55,25.2,63,NA,NA,NA,NA,NA,52,28,24
WAI,4/20/2016,rble,274144816,osgo,u,53,24.4,66,14,5.9,5.9,5.2,9.6,47,26,21
WAI,4/20/2016,rble,274144817,osgr,u,55,26.2,67,15.2,8.3,6.2,5.5,9,48,26.5,21.5
WAI,4/20/2016,jawe,278048405,ysdg,u,41,17.3,58,15,7.6,4.5,3.6,8.2,35,25,10
WAI,4/20/2016,jawe,278048406,ysdr,u,42,17.9,60,15.8,7.9,4.5,3.6,8.2,37,26,11
WAI,4/21/2016,rble,274144818,osgw,u,58,25.2,68,NA,8.2,5.6,5,9.3,48,27,21
WAI,4/21/2016,jawe,278048407,ddds,u,41,17.2,56,13.9,7.7,3.9,3.1,9.2,36,26,10
WAI,4/21/2016,jawe,278048408,ysog,u,41,17.9,59,15.1,7.3,4.2,3.8,8.4,37,25,12
WAI,4/21/2016,jawe,278048409,ysdw,u,40,17.2,59,NA,NA,NA,NA,NA,45,35,10
PAH,4/22/2016,rble,274144773,rsdw,u,57,23.3,64,13.4,6.7,4.6,3.9,12,46,23,23
PAH,4/25/2016,rble,274144775,dwws,u,53,24.1,65,14.3,7.2,5.1,4.4,8.5,43.5,24.5,19
PAH,4/25/2016,rble,274144776,gdws,u,54,25.2,68,12.8,6.5,5.2,5,10,45,24,21
EKA,4/25/2016,wrsh,274144819,odrs,f,111,25.2,87,18.1,10.6,4.8,5.3,13,NA,17.5,NA
MOA,4/27/2016,jawe,263131148,dsrw,u,42,16.8,58,14.2,7.1,3.3,3,7.7,37,28,9
MOA,4/27/2016,rwbu,265144440,rwos,u,74,20.1,78,16.6,8.9,5.6,4.8,11.4,70.5,45,25.5
MOA,4/27/2016,rwbu,265144441,ryos,u,75,18.7,76,NA,NA,NA,NA,NA,56,26,30
MOA,4/27/2016,rwbu,265144442,wdos,u,77,18.6,77,NA,8.7,5.5,4.5,10.1,51,27,24
MOA,4/27/2016,wrsh,274144777,ogrs,m,114,26.4,91,18.2,10.2,6.4,5.4,12.9,60,33.5,26.5
MOA,4/27/2016,wrsh,274144778,oors,m,124,25.9,92,20,12.2,5.4,5.9,13.1,62,32,30
MOA,4/27/2016,rble,274144779,owos,u,59,24.2,68,13.5,7.4,4.9,4.7,8.4,49,30,19
MOA,4/27/2016,rble,274144780,oyos,u,NA,19.6,NA,NA,NA,NA,NA,NA,45,25,20
MOA,4/27/2016,rble,274144781,rdos,u,52,23.4,66,13.5,7.4,5.2,5,8.6,45,24.5,20.5
