genus_species,family,group,growth_form,leafsize_cm2,latitude,longitude,elevation_m,MAT,MAP,PPTgs,RADann
Bossiaea walkeri,Fabaceae,angio,Shrub,2.53,-32.976,146.146,223,17.60,390.00,454.00,226.28
Cassinia laevis,Asteraceae,angio,Shrub,0.18,-32.976,146.146,223,17.60,390.00,454.00,226.28
Dodonaea viscosa subsp. cuneata,Sapindaceae,angio,Shrub,0.4,-32.976,146.146,223,17.60,390.00,454.00,226.28
Eremophila glabra,Scrophulariaceae,angio,Shrub,1.03,-32.976,146.146,223,17.60,390.00,454.00,226.28
Eremophila longifolia,Scrophulariaceae,angio,Shrub,2.38,-32.976,146.146,223,17.60,390.00,454.00,226.28
Eutaxia microphylla,Fabaceae,angio,Shrub,0.01,-32.976,146.146,223,17.60,390.00,454.00,226.28
Melaleuca uncinata,Myrtaceae,angio,Shrub,0.35,-32.976,146.146,223,17.60,390.00,454.00,226.28
Myoporum platycarpum,Scrophulariaceae,angio,Tree,3.14,-32.976,146.146,223,17.60,390.00,454.00,226.28
Olearia decurrens,Asteraceae,angio,Shrub,0.29,-32.976,146.146,223,17.60,390.00,454.00,226.28
Eriostemon difformis,Rutaceae,angio,Shrub,0.06,-32.976,146.146,223,17.60,390.00,454.00,226.28
Senna artemisioides,Fabaceae,angio,Shrub,0.87,-32.976,146.146,223,17.60,390.00,454.00,226.28
Acacia irrorata,Fabaceae,angio,Tree,,-32.381,151.323,500,15.40,1300.00,775.00,205.58
Syzygium smithii,Myrtaceae,angio,Tree,20.17,-32.381,151.323,500,15.40,1300.00,775.00,205.58
Allocasuarina torulosa,Casuarinaceae,angio,Tree,0.84,-32.381,151.323,500,15.40,1300.00,775.00,205.58
Breynia oblongifolia,Phyllanthaceae,angio,Shrub,4.76,-32.381,151.323,500,15.40,1300.00,775.00,205.58
Daviesia ulicifolia,Fabaceae,angio,Shrub,0.14,-32.381,151.323,500,15.40,1300.00,775.00,205.58
Dodonaea triquetra,Sapindaceae,angio,Shrub,14.07,-32.381,151.323,500,15.40,1300.00,775.00,205.58
Exocarpos strictus,Santalaceae,angio,Shrub,0.73,-32.381,151.323,500,15.40,1300.00,775.00,205.58
Glochidion ferdinandii,Phyllanthaceae,angio,Tree,25.35,-32.381,151.323,500,15.40,1300.00,775.00,205.58
Gompholobium latifolium,Fabaceae,angio,Shrub,1.96,-32.381,151.323,500,15.40,1300.00,775.00,205.58
Leucopogon lanceolatus,Ericaceae,angio,Shrub,0.73,-32.381,151.323,500,15.40,1300.00,775.00,205.58
Oxylobium aciculiferum,Fabaceae,angio,Shrub,0.67,-32.381,151.323,500,15.40,1300.00,775.00,205.58
Podolobium ilicifolium,Fabaceae,angio,Shrub,1.75,-32.381,151.323,500,15.40,1300.00,775.00,205.58
Persoonia linearis,Proteaceae,angio,Shrub,1.82,-32.381,151.323,500,15.40,1300.00,775.00,205.58
Prostanthera incisa,Lamiaceae,angio,Shrub,0.48,-32.381,151.323,500,15.40,1300.00,775.00,205.58
Zapoteca portoricensis,Fabaceae,angio,Shrub,0.58,-33.374,151.320,1,16.80,1300.00,1402.00,199.71
Acacia oxycedrus,Fabaceae,angio,Shrub,0.31,-33.374,151.320,1,16.80,1300.00,1402.00,199.71
Banksia serrata,Proteaceae,angio,Shrub,23.24,-33.374,151.320,1,16.80,1300.00,1402.00,199.71
Banksia spinulosa var. collina,Proteaceae,angio,Shrub,2.39,-33.374,151.320,1,16.80,1300.00,1402.00,199.71
Gompholobium grandiflorum,Fabaceae,angio,Shrub,0.75,-33.374,151.320,1,16.80,1300.00,1402.00,199.71
Hakea dactyloides,Proteaceae,angio,Shrub,18.8,-33.374,151.320,1,16.80,1300.00,1402.00,199.71
Hakea sericea,Proteaceae,angio,Shrub,0.34,-33.374,151.320,1,16.80,1300.00,1402.00,199.71
Isopogon anemonifolius,Proteaceae,angio,Shrub,5.47,-33.374,151.320,1,16.80,1300.00,1402.00,199.71
Lambertia formosa,Proteaceae,angio,Shrub,1.85,-33.374,151.320,1,16.80,1300.00,1402.00,199.71
Leptomeria acida,Amphorogynaceae,angio,Shrub,0.94,-33.374,151.320,1,16.80,1300.00,1402.00,199.71
Leptospermum parvifolium,Myrtaceae,angio,Shrub,0.22,-33.374,151.320,1,16.80,1300.00,1402.00,199.71
Persoonia isophylla,Proteaceae,angio,Shrub,0.21,-33.374,151.320,1,16.80,1300.00,1402.00,199.71
Persoonia levis,Proteaceae,angio,Shrub,35.75,-33.374,151.320,1,16.80,1300.00,1402.00,199.71
Petrophile pulchella,Proteaceae,angio,Shrub,3.31,-33.374,151.320,1,16.80,1300.00,1402.00,199.71
Phyllota phylicoides,Fabaceae,angio,Shrub,0.1,-33.374,151.320,1,16.80,1300.00,1402.00,199.71
Acacia hakeoides,Fabaceae,angio,Shrub,6.62,-32.967,146.155,223,17.60,390.00,465.00,226.29
Apophyllum anomalum,Capparaceae,angio,Shrub,1.83,-32.967,146.155,223,17.60,390.00,465.00,226.29
Bertya cunninghamii,Euphorbiaceae,angio,Shrub,0.15,-32.967,146.155,223,17.60,390.00,465.00,226.29
Eremophila desertorum,Scrophulariaceae,angio,Shrub,0.94,-32.967,146.155,223,17.60,390.00,465.00,226.29
Anopterus macleayanus,Escalloniaceae,angio,Tree,84.41,-31.439,152.919,7,18.30,1540.00,1591.00,207.84
Sarcomelicope simplicifolia,Rutaceae,angio,Tree,41.33,-31.439,152.919,7,18.30,1540.00,1591.00,207.84
Eupomatia laurina,Eupomatiaceae,angio,Tree,32.97,-31.439,152.919,7,18.30,1540.00,1591.00,207.84
Claoxylon australe,Euphorbiaceae,angio,Shrub,66.42,-31.439,152.919,7,18.30,1540.00,1591.00,207.84
Capparis arborea,Capparaceae,angio,Tree,33.12,-31.439,152.919,7,18.30,1540.00,1591.00,207.84
Cleistanthus cunninghamii,Phyllanthaceae,angio,Tree,23.15,-31.439,152.919,7,18.30,1540.00,1591.00,207.84
Ficus coronata,Moraceae,angio,Shrub,25.85,-31.439,152.919,7,18.30,1540.00,1591.00,207.84
Ficus fraseri,Moraceae,angio,Tree,35.68,-31.439,152.919,7,18.30,1540.00,1591.00,207.84
Neolitsea australiensis,Lauraceae,angio,Tree,39.97,-31.439,152.919,7,18.30,1540.00,1591.00,207.84
Alangium villosum subsp. polyosmoides,Cornaceae,angio,Tree,36.72,-31.439,152.919,7,18.30,1540.00,1591.00,207.84
Citriobatus pauciflorus,Pittosporaceae,angio,Shrub,1.03,-31.439,152.919,7,18.30,1540.00,1591.00,207.84
Pittosporum undulatum,Pittosporaceae,angio,Tree,32.39,-31.439,152.919,7,18.30,1540.00,1591.00,207.84
Cryptocarya rigida,Lauraceae,angio,Tree,36.34,-31.439,152.919,7,18.30,1540.00,1591.00,207.84
Synoum glandulosum,Meliaceae,angio,Shrub,,-31.439,152.919,7,18.30,1540.00,1591.00,207.84
Neolitsea dealbata,Lauraceae,angio,Shrub,81.31,-31.439,152.919,7,18.30,1540.00,1591.00,207.84
Baeckea gunniana,Myrtaceae,angio,Shrub,0.02,-42.896,147.235,1271,4.50,864.00,324.00,168.38
Bellendena montana,Proteaceae,angio,Shrub,1.27,-42.896,147.235,1271,4.50,864.00,324.00,168.38
Bauera rubioides,Cunoniaceae,angio,Shrub,0.07,-42.896,147.235,1271,4.50,864.00,324.00,168.38
Eucalyptus coccifera,Myrtaceae,angio,Tree,9.04,-42.896,147.235,1271,4.50,864.00,324.00,168.38
Epacris serpyllifolia,Ericaceae,angio,Shrub,0.06,-42.896,147.235,1271,4.50,864.00,324.00,168.38
Oxylobium ellipticum,Fabaceae,angio,Shrub,0.63,-42.896,147.235,1271,4.50,864.00,324.00,168.38
Leptospermum lanigerum,Myrtaceae,angio,Tree,0.13,-42.896,147.235,1271,4.50,864.00,324.00,168.38
Leptospermum rupestre,Myrtaceae,angio,Shrub,0.1,-42.896,147.235,1271,4.50,864.00,324.00,168.38
Monotoca empetrifolia,Ericaceae,angio,Shrub,0.07,-42.896,147.235,1271,4.50,864.00,324.00,168.38
Orites acicularis,Proteaceae,angio,Shrub,1.15,-42.896,147.235,1271,4.50,864.00,324.00,168.38
Orites revolutus,Proteaceae,angio,Shrub,0.27,-42.896,147.235,1271,4.50,864.00,324.00,168.38
Pimelea sericea,Thymelaeaceae,angio,Shrub,0.31,-42.896,147.235,1271,4.50,864.00,324.00,168.38
Richea scoparia,Ericaceae,angio,Shrub,1.57,-42.896,147.235,1271,4.50,864.00,324.00,168.38
Richea sprengelioides,Ericaceae,angio,Shrub,0.2,-42.896,147.235,1271,4.50,864.00,324.00,168.38
Tasmannia lanceolata,Winteraceae,angio,Shrub,1.19,-42.896,147.235,1271,4.50,864.00,324.00,168.38
Telopea truncata,Proteaceae,angio,Shrub,5.32,-42.896,147.235,1271,4.50,864.00,324.00,168.38
Rhododendron aurigeranum,Ericaceae,angio,Shrub,23,-7.400,146.733,1150,21.10,1900.00,2132.00,193.17
Vaccinium albicans,Ericaceae,angio,Shrub,16,-7.400,146.733,1150,21.10,1900.00,2132.00,193.17
Schuurmansia henningsii,Ochnaceae,angio,Shrub,43,-7.400,146.733,1150,21.10,1900.00,2132.00,193.17
Alphitonia incana,Rhamnaceae,angio,Tree,34,-7.400,146.733,1150,21.10,1900.00,2132.00,193.17
Ageratum conyzoides,Asteraceae,angio,Herb,9,-7.400,146.733,1150,21.10,1900.00,2132.00,193.17
Rhododendron macgregoriae,Ericaceae,angio,Shrub,19,-7.400,146.733,2360,14.70,3100.00,2346.00,193.17
Vaccinium molle,Ericaceae,angio,Shrub,4,-7.400,146.733,2360,14.70,3100.00,2346.00,193.17
Gaultheria pullei,Ericaceae,angio,Shrub,11,-7.400,146.733,2360,14.70,3100.00,2346.00,193.17
Dimorphanthera denticulifera,Ericaceae,angio,Shrub,22,-7.400,146.733,2360,14.70,3100.00,2346.00,193.17
Alphitonia incana,Rhamnaceae,angio,Tree,30,-7.400,146.733,2360,14.70,3100.00,2346.00,193.17
Nothofagus carrii,Nothofagaceae,angio,Tree,4,-7.400,146.733,2360,14.70,3100.00,2346.00,193.17
Ageratum conyzoides,Asteraceae,angio,Herb,6,-7.400,146.733,2360,14.70,3100.00,2346.00,193.17
Ranunculus pseudolowii,Ranunculaceae,angio,Herb,1.7,-5.667,145.017,2700,12.70,3200.00,1434.00,179.61
Anaphalis hellwigii,Asteraceae,angio,Herb,3,-5.667,145.017,2700,12.70,3200.00,1434.00,179.61
Rhododendron culminicolum,Ericaceae,angio,Shrub,20,-5.667,145.017,3480,7.80,3450.00,1330.00,179.61
Vaccinium ambyandrum,Ericaceae,angio,Shrub,0.4,-5.667,145.017,3480,7.80,3450.00,1330.00,179.61
Vaccinium amplifolium,Ericaceae,angio,Shrub,18,-5.667,145.017,3480,7.80,3450.00,1330.00,179.61
Vaccinium cruentum,Ericaceae,angio,Shrub,3.3,-5.667,145.017,3480,7.80,3450.00,1330.00,179.61
Gaultheria mundula,Ericaceae,angio,Shrub,0.7,-5.667,145.017,3480,7.80,3450.00,1330.00,179.61
Dimorphanthera microphylla,Ericaceae,angio,Shrub,1.4,-5.667,145.017,3480,7.80,3450.00,1330.00,179.61
Pittosporum pullifolium,Pittosporaceae,angio,Tree,11.3,-5.667,145.017,3480,7.80,3450.00,1330.00,179.61
Styphelia suaveolens,Ericaceae,angio,Shrub,0.12,-5.667,145.017,3480,7.80,3450.00,1330.00,179.61
Anaphalis hellwigii,Asteraceae,angio,Herb,2,-5.667,145.017,3480,7.80,3450.00,1330.00,179.61
Vaccinium ambyandrum,Ericaceae,angio,Shrub,0.07,-5.667,145.017,4000,4.90,3200.00,917.00,179.61
Gaultheria mundula,Ericaceae,angio,Shrub,0.25,-5.667,145.017,4000,4.90,3200.00,917.00,179.61
Styphelia suaveolens,Ericaceae,angio,Shrub,0.06,-5.667,145.017,4420,2.10,3000.00,1529.00,179.61
Tetramolopium macrum,Asteraceae,angio,Shrub,0.08,-5.667,145.017,4420,2.10,3000.00,1529.00,179.61
Drapetes ericoides,Thymelaeaceae,angio,Shrub,0.01,-5.667,145.017,4420,2.10,3000.00,1529.00,179.61
Ranunculus saruwagedicus,Ranunculaceae,angio,Herb,2.3,-5.667,145.017,4420,2.10,3000.00,1529.00,179.61
Anaphalioides mariae,Asteraceae,angio,Herb,0.25,-5.667,145.017,4420,2.10,3000.00,1529.00,179.61
Hedycarya angustifolia,Monimiaceae,angio,Tree,21.47,-37.983,145.800,170,13.70,1000.00,1119.00,182.20
Acacia genistifolia,Fabaceae,angio,Tree,1.65,-37.983,145.800,170,13.70,1000.00,1119.00,182.20
Pultenaea muelleri,Fabaceae,angio,Shrub,0.22,-37.983,145.800,170,13.70,1000.00,1119.00,182.20
Pultenaea weindorferi,Fabaceae,angio,Shrub,0.09,-37.983,145.800,170,13.70,1000.00,1119.00,182.20
Boronia muelleri,Rutaceae,angio,Shrub,2.93,-37.983,145.800,170,13.70,1000.00,1119.00,182.20
Correa reflexa,Rutaceae,angio,Shrub,9.66,-37.983,145.800,170,13.70,1000.00,1119.00,182.20
Phebalium bilobum,Rutaceae,angio,Shrub,1.32,-37.983,145.800,170,13.70,1000.00,1119.00,182.20
Zieria arborescens,Rutaceae,angio,Tree,35.4,-37.983,145.800,170,13.70,1000.00,1119.00,182.20
Pomaderris aspera,Rhamnaceae,angio,Tree,34.83,-37.983,145.800,170,13.70,1000.00,1119.00,182.20
Spyridium parvifolium,Rhamnaceae,angio,Shrub,1.7,-37.983,145.800,170,13.70,1000.00,1119.00,182.20
Banksia marginata,Proteaceae,angio,Shrub,2,-37.983,145.800,170,13.70,1000.00,1119.00,182.20
Banksia spinulosa,Proteaceae,angio,Shrub,3.07,-37.983,145.800,170,13.70,1000.00,1119.00,182.20
Grevillea barklyana,Proteaceae,angio,Tree,41.21,-37.983,145.800,170,13.70,1000.00,1119.00,182.20
Hakea sericea,Proteaceae,angio,Shrub,0.37,-37.983,145.800,170,13.70,1000.00,1119.00,182.20
Hakea ulicina,Proteaceae,angio,Shrub,1.18,-37.983,145.800,170,13.70,1000.00,1119.00,182.20
Lomatia fraseri,Proteaceae,angio,Tree,31.69,-37.983,145.800,170,13.70,1000.00,1119.00,182.20
Prostanthera lasianthos,Lamiaceae,angio,Tree,14.06,-37.983,145.800,170,13.70,1000.00,1119.00,182.20
Acacia myrtifolia,Fabaceae,angio,Shrub,3.6,-33.681,151.147,150,17.50,1220.00,1297.00,199.21
Bossiaea heterophylla,Fabaceae,angio,Shrub,0.19,-33.681,151.147,150,17.50,1220.00,1297.00,199.21
Gompholobium glabratum,Fabaceae,angio,Shrub,0.07,-33.681,151.147,150,17.50,1220.00,1297.00,199.21
Kunzea capitata,Myrtaceae,angio,Shrub,0.11,-33.681,151.147,150,17.50,1220.00,1297.00,199.21
Lomatia silaifolia,Proteaceae,angio,Shrub,,-33.681,151.147,150,17.50,1220.00,1297.00,199.21
Anisopogon avenaceus,Poaceae,angio,Grass,8.55,-33.681,151.147,150,17.50,1220.00,1297.00,199.21
Eucalyptus haemastoma,Myrtaceae,angio,Tree,17.97,-33.681,151.147,150,17.50,1220.00,1297.00,199.21
Grevillea sericea,Proteaceae,angio,Shrub,1.53,-33.681,151.147,150,17.50,1220.00,1297.00,199.21
Hakea sericea,Proteaceae,angio,Shrub,0.34,-33.681,151.147,150,17.50,1220.00,1297.00,199.21
Lepidosperma laterale,Cyperaceae,angio,Grass,12.87,-33.681,151.147,150,17.50,1220.00,1297.00,199.21
Persoonia pinifolia,Proteaceae,angio,Shrub,0.45,-33.681,151.147,150,17.50,1220.00,1297.00,199.21
Petrophile pulchella,Proteaceae,angio,Shrub,5.22,-33.681,151.147,150,17.50,1220.00,1297.00,199.21
Banksia spinulosa,Proteaceae,angio,Shrub,0.84,-34.778,150.336,315,14.80,1821.00,679.00,195.46
Corymbia gummifera,Myrtaceae,angio,Tree,21.94,-34.778,150.336,315,14.80,1821.00,679.00,195.46
Cyathochaeta diandra,Cyperaceae,angio,Grass,11.26,-34.778,150.336,315,14.80,1821.00,679.00,195.46
Eucalyptus eugenioides,Myrtaceae,angio,Tree,22.89,-34.778,150.336,315,14.80,1821.00,679.00,195.46
Eucalyptus racemosa,Myrtaceae,angio,Tree,17.92,-34.778,150.336,315,14.80,1821.00,679.00,195.46
Gahnia sp4258,Cyperaceae,angio,Grass,16.75,-34.778,150.336,315,14.80,1821.00,679.00,195.46
Hakea dactyloides,Proteaceae,angio,Shrub,9.14,-34.778,150.336,315,14.80,1821.00,679.00,195.46
Hakea sericea,Proteaceae,angio,Shrub,0.71,-34.778,150.336,315,14.80,1821.00,679.00,195.46
Leptospermum rotundifolium,Myrtaceae,angio,Shrub,0.13,-34.778,150.336,315,14.80,1821.00,679.00,195.46
Leptospermum trinervium,Myrtaceae,angio,Shrub,0.33,-34.778,150.336,315,14.80,1821.00,679.00,195.46
Persoonia levis,Proteaceae,angio,Shrub,22.78,-34.778,150.336,315,14.80,1821.00,679.00,195.46
Persoonia mollis,Proteaceae,angio,Shrub,0.66,-34.778,150.336,315,14.80,1821.00,679.00,195.46
Syzygium smithii,Myrtaceae,angio,Tree,24.75,-34.567,150.656,265,15.10,1578.00,1523.00,194.68
Carex appressa,Cyperaceae,angio,Grass,31.86,-34.567,150.656,265,15.10,1578.00,1523.00,194.68
Carex myosurus,Cyperaceae,angio,Grass,23.15,-34.567,150.656,265,15.10,1578.00,1523.00,194.68
Oplismenus hirtellus,Poaceae,angio,Grass,1.15,-34.567,150.656,265,15.10,1578.00,1523.00,194.68
Panicum pygmaeum,Poaceae,angio,Grass,1.12,-34.567,150.656,265,15.10,1578.00,1523.00,194.68
Stenocarpus salignus,Proteaceae,angio,Tree,24.4,-34.567,150.656,265,15.10,1578.00,1523.00,194.68
Eucalyptus dumosa,Myrtaceae,angio,Tree,9.63,-31.510,145.798,250,18.30,341.00,495.00,236.71
Eucalyptus socialis,Myrtaceae,angio,Tree,11.32,-31.510,145.798,250,18.30,341.00,495.00,236.71
Eucalyptus intertexta,Myrtaceae,angio,Tree,11.89,-31.562,146.504,250,18.20,389.00,539.00,234.99
Eucalyptus populnea,Myrtaceae,angio,Tree,17.82,-31.562,146.504,250,18.20,389.00,539.00,234.99
Aristida latifolia,Poaceae,angio,Grass,0.54,-34.356,143.596,60,17.10,288.00,416.00,214.63
Enneapogon intermedius,Poaceae,angio,Grass,0.9,-34.356,143.596,60,17.10,288.00,416.00,214.63
Eragrostis setifolia,Poaceae,angio,Grass,0.97,-34.356,143.596,60,17.10,288.00,416.00,214.63
Stipa scabra,Poaceae,angio,Grass,2.1,-34.356,143.596,60,17.10,288.00,416.00,214.63
Eucalyptus sideroxylon,Myrtaceae,angio,Tree,15.43,-33.936,146.115,170,16.70,410.00,478.00,217.81
Grevillea anethifolia,Proteaceae,angio,Shrub,1.04,-33.936,146.115,170,16.70,410.00,478.00,217.81
Grevillea rosmarinifolia,Proteaceae,angio,Shrub,0.14,-33.936,146.115,170,16.70,410.00,478.00,217.81
Melaleuca uncinata,Myrtaceae,angio,Shrub,0.32,-33.936,146.115,170,16.70,410.00,478.00,217.81
Micromyrtus sessilis,Myrtaceae,angio,Shrub,0.02,-33.936,146.115,170,16.70,410.00,478.00,217.81
Triodia irritans,Poaceae,angio,Grass,1.35,-33.936,146.115,170,16.70,410.00,478.00,217.81
Grevillea floribunda,Proteaceae,angio,Shrub,1.41,-34.120,146.220,350,16.70,455.00,537.00,216.17
Melaleuca sp4286,Myrtaceae,angio,Shrub,0.05,-34.120,146.220,350,16.70,455.00,537.00,216.17
Persoonia curvifolia,Proteaceae,angio,Shrub,0.25,-34.120,146.220,350,16.70,455.00,537.00,216.17
Hakea tephrosperma,Proteaceae,angio,Tree,0.49,-33.936,146.115,170,16.70,410.00,478.00,217.81
Grevillea hugelii,Proteaceae,angio,Shrub,0.78,-32.967,146.155,223,17.60,390.00,465.00,226.29
Sannantha cunninghamii,Myrtaceae,angio,Shrub,0.04,-32.942,148.401,500,17.60,650.00,711.00,218.11
Eucalyptus sideroxylon,Myrtaceae,angio,Tree,19.53,-32.942,148.401,500,17.60,650.00,711.00,218.11
Grevillea floribunda,Proteaceae,angio,Shrub,2.42,-32.942,148.401,500,17.60,650.00,711.00,218.11
Isopogon petiolaris,Proteaceae,angio,Shrub,5.68,-32.942,148.401,500,17.60,650.00,711.00,218.11
Persoonia curvifolia,Proteaceae,angio,Shrub,0.6,-32.942,148.401,500,17.60,650.00,711.00,218.11
Calytrix tetragona,Myrtaceae,angio,Shrub,0.04,-32.942,148.401,500,17.60,650.00,711.00,218.11
Leptospermum divaricatum,Myrtaceae,angio,Shrub,0.14,-32.942,148.401,500,17.60,650.00,711.00,218.11
Carex appressa,Cyperaceae,angio,Grass,17.48,-32.815,148.348,500,17.60,650.00,730.00,219.43
Gahnia aspera,Cyperaceae,angio,Grass,11.82,-32.815,148.348,500,17.60,650.00,730.00,219.43
Stipa scabra,Poaceae,angio,Grass,0.85,-32.815,148.348,500,17.60,650.00,730.00,219.43
Lepidosperma laterale,Cyperaceae,angio,Grass,13.44,-32.828,148.384,500,17.60,650.00,716.00,219.41
Thyridolepis mitchelliana,Poaceae,angio,Grass,0.57,-32.967,146.155,223,17.60,390.00,465.00,226.29
Entolasia stricta,Poaceae,angio,Grass,0.81,-33.594,151.289,150,17.50,1220.00,1430.00,199.34
Eucalyptus paniculata,Myrtaceae,angio,Tree,20.49,-33.594,151.289,150,17.50,1220.00,1430.00,199.34
Leptospermum polygalifolium,Myrtaceae,angio,Shrub,0.31,-33.594,151.289,150,17.50,1220.00,1430.00,199.34
Lomatia silaifolia,Proteaceae,angio,Shrub,,-33.594,151.289,150,17.50,1220.00,1430.00,199.34
Persoonia linearis,Proteaceae,angio,Tree,0.87,-33.594,151.289,150,17.50,1220.00,1430.00,199.34
Xylomelum pyriforme,Proteaceae,angio,Tree,31.63,-33.594,151.289,150,17.50,1220.00,1430.00,199.34
Angophora costata,Myrtaceae,angio,Tree,10.38,-32.514,152.327,15,17.10,1374.00,1299.00,203.19
Banksia serrata,Proteaceae,angio,Tree,15.73,-32.514,152.327,15,17.10,1374.00,1299.00,203.19
Conospermum taxifolium,Proteaceae,angio,Shrub,0.4,-32.514,152.327,15,17.10,1374.00,1299.00,203.19
Eucalyptus pilularis,Myrtaceae,angio,Tree,15.46,-32.514,152.327,15,17.10,1374.00,1299.00,203.19
Leptospermum trinervium,Myrtaceae,angio,Shrub,0.38,-32.514,152.327,15,17.10,1374.00,1299.00,203.19
Panicum simile,Poaceae,angio,Grass,0.35,-32.514,152.327,15,17.10,1374.00,1299.00,203.19
Persoonia lanceolata,Proteaceae,angio,Shrub,5.68,-32.514,152.327,15,17.10,1374.00,1299.00,203.19
Persoonia levis,Proteaceae,angio,Shrub,15.56,-32.514,152.327,15,17.10,1374.00,1299.00,203.19
Themeda triandra,Poaceae,angio,Grass,8.04,-32.514,152.327,15,17.10,1374.00,1299.00,203.19
Xylomelum pyriforme,Proteaceae,angio,Tree,51.36,-32.514,152.327,15,17.10,1374.00,1299.00,203.19
Baeckea diosmifolia,Myrtaceae,angio,Shrub,0.02,-33.617,150.715,15,17.30,778.00,1041.00,199.97
Grevillea mucronulata,Proteaceae,angio,Shrub,0.83,-33.683,150.745,15,17.30,778.00,1034.00,199.99
Themeda triandra,Poaceae,angio,Grass,3.55,-33.683,150.745,15,17.30,778.00,1034.00,199.99
Grevillea juniperina,Proteaceae,angio,Tree,0.13,-33.617,150.715,15,17.40,778.00,1041.00,199.97
Melaleuca nodosa,Myrtaceae,angio,Tree,0.15,-33.617,150.715,15,17.40,778.00,1041.00,199.97
Panicum simile,Poaceae,angio,Grass,2.17,-33.617,150.715,15,17.40,778.00,1041.00,199.97
Allophylus cobbe,Sapindaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Terminalia myriocarpa,Combretaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Lasiococca comberi,Euphorbiaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Dracontomelon macrocarpum,Anacardiaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Garuga floribunda var. gamblei,Burseraceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Hopea chinensis,Dipterocarpaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Pittosporopsis kerrii,Icacinaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Garcinia cowa,Clusiaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Baccaurea ramiflora,Phyllanthaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Antiaris toxicaria,Moraceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Gironniera subaequalis,Cannabaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Cryptocarya yunnanensis,Lauraceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Barringtonia macrostachya,Lecythidaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Tetrameles nudiflora,Tetramelaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Aphananthe cuspidata,Cannabaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Pouteria grandiflora,Sapotaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Syzygium megacarpum,Myrtaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Endocomia macrocoma subsp. prainii,Myristicaceae,angio,Tree,546.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Knema furfuracea,Myristicaceae,angio,Tree,546.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Alphonsea monogyna,Annonaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Semecarpus reticulatus,Anacardiaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Cleidion bracteosum,Euphorbiaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Vitex pinnata,Lamiaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Mayodendron igneum,Bignoniaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Ficus langkokensis,Moraceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Diospyros xishuangbannaensis,Ebenaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Pseuduvaria trimera,Annonaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Ailanthus fordii,Simaroubaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Drypetes cumingii,Putranjivaceae,angio,Tree,6.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Celtis timorensis,Cannabaceae,angio,Tree,6.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Dysoxylum grande,Meliaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Ulmus lanceifolia,Ulmaceae,angio,Tree,6.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Bischofia javanica,Phyllanthaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Alstonia scholaris,Apocynaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
Neonauclea tsaiana,Rubiaceae,angio,Tree,60.75,23.570,99.080,400,22.00,1500.00,1496.00,199.08
