genus_species,family,group,growth_form,leafsize_cm2,latitude,longitude,elevation_m,MAT,MAP,PPTgs,RADann
Ulmus americana,Ulmaceae,angio,Tree,57,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Ulmus rubra,Ulmaceae,angio,Tree,63.8,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Vaccinium angustifolium,Ericaceae,angio,Shrub,2.7,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Vaccinium myrtilloides,Ericaceae,angio,Shrub,2.8,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Viburnum cassinoides,Adoxaceae,angio,Shrub,26.9,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Viburnum recognitum,Adoxaceae,angio,Shrub,20.2,41.630,-71.751,590,7.00,1140.00,749.00,185.70
Acer pensylvanicum,Sapindaceae,angio,Tree,75.87,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Acer rubrum,Sapindaceae,angio,Tree,29.69,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Acer saccharum,Sapindaceae,angio,Tree,33.09,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Amelanchier laevis,Rosaceae,angio,Tree,18.88,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Aronia arbutifolia,Rosaceae,angio,Tree,13.81,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Betula alleghaniensis,Betulaceae,angio,Tree,30.12,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Betula lenta,Betulaceae,angio,Tree,26.61,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Betula papyrifera,Betulaceae,angio,Tree,36.05,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Betula populifolia,Betulaceae,angio,Tree,28.07,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Castanea dentata,Fagaceae,angio,Tree,87.73,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Crataegus sp144,Rosaceae,angio,Tree,8.97,42.495,-74.138,300,7.20,1070.00,673.00,175.00
Fagus grandifolia,Fagaceae,angio,Tree,57.61,42.495,-74.138,300,7.20,1070.00,673.00,175.00
