Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
10,10.98,0,Gina LÜCKENKEMPER,21-Nov-96,GER,2,"Olympiastadion, Berlin (GER)",7-Aug-18,1204
14,10.99,1.7,Twanisha TERRY,24-Jan-99,USA,1f2,"Torrance, CA (USA)",21-Apr-18,1202
14,10.99,1.8,Dezerea BRYANT,27-Apr-93,USA,1h2,"Drake Stadium, Des Moines, IA (USA)",21-Jun-18,1202
14,10.99,1.2,Yongli WEI,11-Oct-91,CHN,1h1,La Chaux-de-Fonds (SUI),1-Jul-18,1202
14,10.99,0,Dafne SCHIPPERS,15-Jun-92,NED,3,"Olympiastadion, Berlin (GER)",7-Aug-18,1202
18,11.01,-1.5,Ángela Gabriela TENORIO,27-Jan-96,ECU,1h1,Cochabamba (BOL),6-Jun-18,1207
18,11.01,1.5,Carolle ZAHI,12-Jun-94,FRA,1,Albi (FRA),7-Jul-18,1198
20,11.02,1.5,Tamara CLARK,9-Jan-99,USA,3,"Knoxville, TN (USA)",12-May-18,1195
20,11.02,0.9,English GARDNER,22-Apr-92,USA,1,Rovereto (ITA),23-Aug-18,1195
22,11.03,1.9,Tori BOWIE,27-Aug-90,USA,5,"Hayward Field, Eugene, OR (USA)",26-May-18,1193
22,11.03,0.3,Vitoria Cristina ROSA,12-Jan-96,BRA,1,Guadalajara (ESP),6-Jul-18,1193
24,11.04,1.5,Natalliah WHYTE,9-Aug-97,JAM,4,"Knoxville, TN (USA)",12-May-18,1191
24,11.04,1.1,Jada BAYLARK,17-Oct-97,USA,1qf2,"Sacramento, CA (USA)",25-May-18,1191
24,11.04,0.7,Krystsina TSIMANOUSKAYA,19-Nov-96,BLR,1,Minsk (BLR),11-Jul-18,1191
27,11.05,0.4,Mikiah BRISCO,14-Jul-96,USA,1qf2,"Tampa, FL (USA)",25-May-18,1189
28,11.06,1.6,Michelle-Lee AHYE,10-Apr-92,TTO,3,"Bislett Stadion, Oslo (NOR)",7-Jun-18,1187
28,11.06,1.5,Orlann OMBISSA-DZANGUE,26-May-91,FRA,2,Albi (FRA),7-Jul-18,1187
30,11.07,1.6,Semoy HACKETT,27-Nov-88,TTO,1f1,"Montverde, FL (USA)",9-Jun-18,1185
30,11.07,0.1,Jonielle SMITH,30-Jan-96,JAM,3,"Olympic Stadium, London (GBR)",21-Jul-18,1185
32,11.08,1.5,Arianna WASHINGTON,4-Sep-96,USA,2sf1,"Eugene, OR (USA)",7-Jun-18,1182
33,11.1,1.7,Kortnei JOHNSON,11-Aug-97,USA,1h1,"Tampa, FL (USA)",24-May-18,1178
33,11.1,1.9,Javianne OLIVER,26-Dec-94,USA,8,"Hayward Field, Eugene, OR (USA)",26-May-18,1178
33,11.1,0.3,Jamile SAMUEL,24-Apr-92,NED,2sf3,"Olympiastadion, Berlin (GER)",7-Aug-18,1178
36,11.11,0.9,Teahna DANIELS,25-Mar-97,USA,1,"Waco, TX (USA)",13-May-18,1176
36,11.11,-0.1,Tatjana PINTO,2-Jul-92,GER,1h1,Regensburg (GER),3-Jun-18,1176
36,11.11,0.1,Imani LANSIQUOT,17-Dec-97,GBR,5,"Olympic Stadium, London (GBR)",21-Jul-18,1176
36,11.11,0.9,Crystal EMMANUEL,27-Nov-91,CAN,3,Toronto (CAN),11-Aug-18,1176
40,11.12,-0.7,Marisol Narcisa LANDÁZURI,20-Aug-92,ECU,1,Cochabamba (BOL),6-Jun-18,1178
41,11.13,1.7,Briana WILLIAMS,21-Mar-02,JAM,1,"Jacksonville, FL (USA)",17-Mar-18,1172
41,11.13,1.5,Kiara PARKER,28-Oct-96,USA,7,"Knoxville, TN (USA)",12-May-18,1172
41,11.13,1.4,Taylor BENNETT,15-Jan-97,USA,1h2,"Waco, TX (USA)",12-May-18,1172
41,11.13,1.7,Ka'Tia SEYMOUR,3-Oct-97,USA,2h1,"Tampa, FL (USA)",24-May-18,1172
41,11.13,1.6,Tamari DAVIS,15-Feb-03,USA,3f1,"Montverde, FL (USA)",9-Jun-18,1172
41,11.13,0.6,Aaliyah BROWN,6-Jan-95,USA,5,"Drake Stadium, Des Moines, IA (USA)",22-Jun-18,1172
41,11.13,0.4,Shericka JACKSON,16-Jul-94,JAM,3,Kingston (JAM),22-Jun-18,1172
48,11.15,0.8,Lekeisha LAWSON,3-Jun-87,USA,1,"Chula Vista, CA (USA)",9-Jun-18,1167
48,11.15,1.5,Orphée NEOLA,1-Feb-91,FRA,2sf3,Albi (FRA),6-Jul-18,1167
50,11.16,0.9,Kevona DAVIS,20-Dec-01,JAM,1,Kingston (JAM),23-Mar-18,1165
50,11.16,0.4,Celera BARNES,2-Dec-98,USA,3qf2,"Tampa, FL (USA)",25-May-18,1165
50,11.16,-0.1,Kristal AWUAH,7-Aug-99,GBR,1f2,"Olympiastadion, Berlin (GER)",2-Sep-18,1165
53,11.17,0.9,Leya BUCHANAN,17-Aug-96,CAN,2,"Waco, TX (USA)",13-May-18,1163
53,11.17,1.6,Hajar AL KHALDI,17-Mar-95,BRN,1,Amman (JOR),9-Jul-18,1163
55,11.18,1.2,Khianna GRAY,30-Dec-96,USA,2h6,"Tampa, FL (USA)",24-May-18,1161
55,11.18,1.1,Ivet LALOVA-COLLIO,18-May-84,BUL,3,Montreuil (FRA),19-Jun-18,1161
55,11.18,1.8,Deajah STEVENS,19-May-95,USA,3h2,"Drake Stadium, Des Moines, IA (USA)",21-Jun-18,1161
55,11.18,0,Barbara PIERRE,28-Apr-87,USA,2,"CNDA, Bragança Paulista (BRA)",8-Jul-18,1161
59,11.19,-0.4,Quanesha BURKS,15-Mar-95,USA,2f1,"Baton Rouge, LA (USA)",28-Apr-18,1161
59,11.19,1.9,Gabrielle THOMAS,7-Dec-96,USA,2h4,"Tampa, FL (USA)",24-May-18,1159
59,11.19,-1.2,Isidora JIMÉNEZ,10-Aug-93,CHI,2h2,Cochabamba (BOL),6-Jun-18,1166
59,11.19,-0.5,Daryll NEITA,29-Aug-96,GBR,2,Birmingham (GBR),30-Jun-18,1162
59,11.19,0.4,Jeneba TARMOH,27-Sep-89,USA,1f2,Bellinzona (SUI),18-Jul-18,1159
64,11.2,0.3,Viktoriya ZYABKINA,4-Sep-92,KAZ,1,Almaty (KAZ),29-Jun-18,1157
64,11.2,-0.5,Bianca WILLIAMS,18-Dec-93,GBR,3,Birmingham (GBR),30-Jun-18,1160
64,11.2,1.4,Sarah ATCHO,1-Jun-95,SUI,1sf2,Zofingen (SUI),13-Jul-18,1157
64,11.2,1.7,Hrystyna STUY,3-Feb-88,UKR,1,Lutsk (UKR),19-Jul-18,1157
68,11.21,0.5,Asha PHILIP,25-Oct-90,GBR,1sf1,Gold Coast (AUS),8-Apr-18,1154
68,11.21,1,Christania WILLIAMS,17-Oct-94,JAM,2,Gold Coast (AUS),9-Apr-18,1154
68,11.21,0.8,Kayla WHITE,24-Sep-96,USA,1h2,"Greensboro, NC (USA)",14-Apr-18,1154
68,11.21,0.9,Cassondra HALL,23-Sep-97,USA,1f1,"Coral Gables, FL (USA)",14-Apr-18,1154
68,11.21,0.9,Rachel MISHER,4-Feb-97,USA,2f1,"Coral Gables, FL (USA)",14-Apr-18,1154
68,11.21,1.5,Deanna HILL,13-Apr-96,USA,2qf1,"Sacramento, CA (USA)",25-May-18,1154
