Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
78,11.26,0.4,Alexandria ANDERSON,28-Jan-87,USA,1,St-Martin (FRA),13-May-17,1144
78,11.26,0.8,Shauna HELPS,23-Oct-96,JAM,1,"Atlanta, GA (USA)",14-May-17,1144
78,11.26,1.2,Jamile SAMUEL,24-Apr-92,NED,3,Montgeron (FRA),14-May-17,1144
78,11.26,1.1,Gabrielle CUNNINGHAM,22-Feb-98,USA,2h1,"Sacramento, CA (USA)",23-Jun-17,1144
83,11.27,1.1,Cierra WHITE,29-Apr-93,USA,1,"Amarillo, TX (USA)",14-May-17,1142
83,11.27,-0.4,Dezerea BRYANT,27-Apr-93,USA,2,Baie Mahault (FRA),17-May-17,1144
83,11.27,1.7,Tameka WILLIAMS,31-Aug-89,SKN,1,St. George's (GRN),4-Jun-17,1142
83,11.27,-0.9,Ashleigh NELSON,20-Feb-91,GBR,2sf2,Birmingham (GBR),1-Jul-17,1147
83,11.27,1.2,Joanna ATKINS,31-Jan-89,USA,4,"New York, NY (USA)",6-Jul-17,1142
83,11.27,1.6,Salomé KORA,8-Jun-94,SUI,1f1,Bulle (SUI),8-Jul-17,1142
89,11.28,1.3,Shayla SANDERS,6-Jan-94,USA,2f2,"Gainesville, FL (USA)",31-Mar-17,1139
89,11.28,2,Sha'Carri RICHARDSON,25-Mar-00,USA,1,"Austin, TX (USA)",13-May-17,1139
89,11.28,1.4,Krystsina TSIMANOUSKAYA,19-Nov-96,BLR,1f3,Ellwangen (GER),20-May-17,1139
89,11.28,0,Khianna GRAY,30-Dec-96,USA,2h1,"Lexington, KY (USA)",25-May-17,1139
89,11.28,1.2,Floriane GNAFOUA,30-Jan-96,FRA,4,Montreuil-sous-Bois (FRA),1-Jun-17,1139
89,11.28,0,Amelie-Sophie LEDERER,22-Apr-94,GER,2h2,Erfurt (GER),8-Jul-17,1139
95,11.29,2,Toea WISIL,1-Jan-88,PNG,1f1,Canberra (AUS),17-Feb-17,1137
95,11.29,2,Shavine HODGES,22-Oct-92,JAM,2,"Athens, GA (USA)",6-May-17,1137
95,11.29,0.8,Rebakah SMITH,1-May-98,USA,2,"Atlanta, GA (USA)",14-May-17,1137
95,11.29,0.3,Ky WESTBROOK,25-Feb-96,USA,8,"Eugene, OR (USA)",10-Jun-17,1137
95,11.29,1.9,Lara MATHEIS,2-Aug-92,GER,2h2,Regensburg (GER),11-Jun-17,1137
95,11.29,1.9,Jennifer MONTAG,11-Feb-98,GER,2h2,Regensburg (GER),11-Jun-17,1137
1,10.7,0.3,Elaine THOMPSON,28-Jun-92,JAM,1,Kingston (JAM),1-Jul-16,1266
2,10.74,1,English GARDNER,22-Apr-92,USA,1,"Hayward Field, Eugene, OR (USA)",3-Jul-16,1257
3,10.78,1.6,Murielle AHOURÉ,23-Aug-87,CIV,1f1,"Montverde, FL (USA)",11-Jun-16,1248
3,10.78,1,Tianna BARTOLETTA,30-Aug-85,USA,2,"Hayward Field, Eugene, OR (USA)",3-Jul-16,1248
3,10.78,1,Tori BOWIE,27-Aug-90,USA,3,"Hayward Field, Eugene, OR (USA)",3-Jul-16,1248
6,10.83,0.7,Dafne SCHIPPERS,15-Jun-92,NED,2,"Suhaim bin Hamad Stadium, Doha (QAT)",6-May-16,1237
6,10.83,1.6,Veronica CAMPBELL-BROWN,15-May-82,JAM,2f1,"Montverde, FL (USA)",11-Jun-16,1237
8,10.86,0.5,Shelly-Ann FRASER-PRYCE,27-Dec-86,JAM,3,"Estádio Olímpico, Rio de Janeiro (BRA)",13-Aug-16,1231
8,10.86,0.5,Marie-Josée TA LOU,18-Nov-88,CIV,4,"Estádio Olímpico, Rio de Janeiro (BRA)",13-Aug-16,1231
10,10.9,1,Michelle-Lee AHYE,10-Apr-92,TTO,2sf1,"Estádio Olímpico, Rio de Janeiro (BRA)",13-Aug-16,1222
11,10.95,1.7,Jenna PRANDINI,20-Nov-92,USA,1f1,"Walnut, CA (USA)",16-Apr-16,1211
11,10.95,1,Morolake AKINOSUN,17-May-94,USA,4,"Hayward Field, Eugene, OR (USA)",3-Jul-16,1211
13,10.96,1,Christania WILLIAMS,17-Oct-94,JAM,3sf1,"Estádio Olímpico, Rio de Janeiro (BRA)",13-Aug-16,1209
14,10.99,1.7,Hannah CUNLIFFE,9-Jan-96,USA,2f1,"Walnut, CA (USA)",16-Apr-16,1202
15,11,0.4,Simone FACEY,7-May-85,JAM,1f1,"Gainesville, FL (USA)",22-Apr-16,1200
15,11,1.2,Tatjana PINTO,2-Jul-92,GER,1sr1,Mannheim (GER),29-Jul-16,1200
17,11.01,2,Arianna WASHINGTON,4-Sep-96,USA,2h3,"Hayward Field, Eugene, OR (USA)",2-Jul-16,1198
18,11.02,0.3,Blessing OKAGBARE-IGHOTEGUONOR,9-Oct-88,NGR,1,Sapele (NGR),7-Jul-16,1195
19,11.04,1.5,Kelly-Ann BAPTISTE,14-Oct-86,TTO,2sf2,Port-of-Spain (TTO),25-Jun-16,1191
19,11.04,1.2,Gina LÜCKENKEMPER,21-Nov-96,GER,2sr1,Mannheim (GER),29-Jul-16,1191
21,11.06,1.5,Desiree HENRY,26-Aug-95,GBR,1f4,"Azusa, CA (USA)",15-Apr-16,1187
22,11.07,1.5,Lekeisha LAWSON,3-Jun-87,USA,1f2,"Chula Vista, CA (USA)",18-Jun-16,1185
22,11.07,2,Carina HORN,9-Mar-89,RSA,2,Durban (RSA),22-Jun-16,1185
22,11.07,1,Semoy HACKETT,27-Nov-88,TTO,2f2,Port-of-Spain (TTO),25-Jun-16,1185
22,11.07,1.8,Barbara PIERRE,28-Apr-87,USA,2h5,"Hayward Field, Eugene, OR (USA)",2-Jul-16,1185
22,11.07,0.9,Candace HILL,11-Feb-99,USA,1,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",21-Jul-16,1185
22,11.07,-1.3,Dina ASHER-SMITH,4-Dec-95,GBR,3h2,"Olympic Stadium, London (GBR)",23-Jul-16,1192
28,11.09,0.8,Olga SAFRONOVA,5-Nov-91,KAZ,1,Almaty (KAZ),24-May-16,1180
28,11.09,1.6,Joanna ATKINS,31-Jan-89,USA,3f1,"Montverde, FL (USA)",11-Jun-16,1180
30,11.1,1.7,Mikele BARBER,4-Oct-80,USA,3f1,"Walnut, CA (USA)",16-Apr-16,1178
31,11.11,1.7,Kimberlyn DUNCAN,2-Aug-91,USA,4f1,"Walnut, CA (USA)",16-Apr-16,1176
31,11.11,-0.1,Ivet LALOVA-COLLIO,18-May-84,BUL,2,"National Stadium, Beijing (CHN)",18-May-16,1176
31,11.11,-2.2,Natalia POHREBNIAK,19-Feb-88,UKR,1,Lutsk (UKR),17-Jun-16,1189
31,11.11,1,Tiffany TOWNSEND,14-Jun-89,USA,8,"Hayward Field, Eugene, OR (USA)",3-Jul-16,1176
35,11.12,0.9,Ewa SWOBODA,26-Jul-97,POL,2,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",21-Jul-16,1174
36,11.13,1.2,Shayla SANDERS,6-Jan-94,USA,1f1,"Los Angeles, CA (USA)",26-Mar-16,1172
36,11.13,0.4,Candyce MCGRONE,24-Mar-89,USA,3f1,"Gainesville, FL (USA)",22-Apr-16,1172
36,11.13,1,Ángela Gabriela TENORIO,27-Jan-96,ECU,2,"Moratalaz, Madrid (ESP)",23-Jun-16,1172
36,11.13,1.8,Tawanna MEADOWS,4-Aug-86,USA,2h1,"Hayward Field, Eugene, OR (USA)",2-Jul-16,1172
40,11.14,0.1,Mujinga KAMBUNDJI,17-Jun-92,SUI,1h1,Weinheim (GER),29-May-16,1169
40,11.14,1.8,Brenessa THOMPSON,22-Jul-96,GUY,1,Leonora (GUY),18-Jun-16,1169
40,11.14,1.4,Octavious FREEMAN,20-Apr-92,USA,1f1,Port-of-Spain (TTO),25-Jun-16,1169
40,11.14,0.7,Ana Claudia LEMOS,6-Nov-88,BRA,1,Medellín (COL),10-Jul-16,1169
44,11.15,1.8,Kaylor HARRIS,31-Oct-98,USA,1h2,"Dallas, TX (USA)",18-Mar-16,1167
44,11.15,1.2,Viktoriya ZYABKINA,4-Sep-92,KAZ,1,Almaty (KAZ),25-Jun-16,1167
46,11.16,1.5,Carmelita JETER,24-Nov-79,USA,7,"Hayward Field, Eugene, OR (USA)",28-May-16,1165
46,11.16,1,Khalifa ST. FORT,13-Feb-98,TTO,4f2,Port-of-Spain (TTO),25-Jun-16,1165
46,11.16,1.8,Shalonda SOLOMON,19-Dec-85,USA,3h1,"Hayward Field, Eugene, OR (USA)",2-Jul-16,1165
46,11.16,-1.3,Asha PHILIP,25-Oct-90,GBR,5h2,"Olympic Stadium, London (GBR)",23-Jul-16,1172
50,11.17,0.2,Kyra JEFFERSON,23-Sep-94,USA,1f3,"Gainesville, FL (USA)",22-Apr-16,1163
50,11.17,1.6,Kaylin WHITNEY,9-Mar-98,USA,4f1,"Montverde, FL (USA)",11-Jun-16,1163
50,11.17,-0.4,Stella AKAKPO,28-Feb-94,FRA,1,Angers (FRA),25-Jun-16,1165
50,11.17,0.3,Shashalee FORBES,10-May-96,JAM,6,Kingston (JAM),1-Jul-16,1163
50,11.17,1.7,Imani LANSIQUOT,17-Dec-97,GBR,1h3,"Zdzislaw Krzyszkowiak Stadium, Bydgoszcz (POL)",20-Jul-16,1163
55,11.18,0.8,Deajah STEVENS,19-May-95,USA,2h2,"Hayward Field, Eugene, OR (USA)",2-Jul-16,1161
56,11.19,0.8,Alexandria ANDERSON,28-Jan-87,USA,1f1,"Austin, TX (USA)",16-Apr-16,1159
56,11.19,0,Shaunae MILLER-UIBO,15-Apr-94,BAH,2f1,"Clermont, FL (USA)",30-Apr-16,1159
56,11.19,1.8,Schillonie CALVERT-POWELL,27-Jul-88,JAM,1f1,"Phoenix, AZ (USA)",21-May-16,1159
56,11.19,-1.3,Kerron STEWART,16-Apr-84,JAM,3,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",22-May-16,1166
56,11.19,1.8,Ashleigh NELSON,20-Feb-91,GBR,2f1,Weinheim (GER),29-May-16,1159
56,11.19,1.1,Tynia GAITHER,16-Mar-93,BAH,2sf2,"Eugene, OR (USA)",9-Jun-16,1159
56,11.19,0.9,Floriane GNAFOUA,30-Jan-96,FRA,2h2,Angers (FRA),25-Jun-16,1159
63,11.2,1.7,Jasmine TODD,23-Dec-93,USA,5f1,"Walnut, CA (USA)",16-Apr-16,1157
63,11.2,1.3,Khianna GRAY,30-Dec-96,USA,1sf3,"Eugene, OR (USA)",9-Jun-16,1157
63,11.2,0.7,Evelin RIVERA,3-Dec-97,COL,2,Medellín (COL),10-Jul-16,1157
66,11.21,1.2,Teahna DANIELS,25-Mar-97,USA,2f1,"Los Angeles, CA (USA)",26-Mar-16,1154
66,11.21,1.1,Olesya POVH,18-Oct-87,UKR,1,Kirovograd (UKR),25-May-16,1154
66,11.21,1.9,Lorène Dorcas BAZOLO,4-May-83,POR,1f1,Salamanca (ESP),4-Jun-16,1154
66,11.21,1.5,Ashley HENDERSON,4-Dec-95,USA,1sf1,"Eugene, OR (USA)",9-Jun-16,1154
66,11.21,1.3,Deanna HILL,13-Apr-96,USA,2sf3,"Eugene, OR (USA)",9-Jun-16,1154
66,11.21,1.6,Shelbi WHITE,,USA,6f1,"Montverde, FL (USA)",11-Jun-16,1154
66,11.21,0.7,Eliecith PALACIOS,15-Aug-87,COL,3,Medellín (COL),10-Jul-16,1154
73,11.22,0.3,Rebekka HAASE,2-Jan-93,GER,3f1,"Clermont, FL (USA)",14-May-16,1152
73,11.22,1.8,Reyare THOMAS,23-Nov-87,TTO,2,Leonora (GUY),18-Jun-16,1152
73,11.22,1,Kristina SIVKOVA,28-Feb-97,RUS,1,Cheboksary (RUS),20-Jun-16,1152
76,11.23,0.6,Alyssa CONLEY,27-Apr-91,RSA,2f1,Gavardo (ITA),29-May-16,1150
76,11.23,-0.3,Rosângela SANTOS,20-Dec-90,BRA,1,Rio de Janeiro (BRA),5-Jun-16,1151
76,11.23,1.2,Daryll NEITA,29-Aug-96,GBR,1sf1,Birmingham (GBR),25-Jun-16,1150
79,11.24,-0.1,Yongli WEI,11-Oct-91,CHN,4,"National Stadium, Beijing (CHN)",18-May-16,1148
79,11.24,1.8,Gloria ASUMNU,22-May-85,NGR,2f1,"Phoenix, AZ (USA)",21-May-16,1148
79,11.24,0,Hrystyna STUY,3-Feb-88,UKR,1h1,Kirovograd (UKR),25-May-16,1148
79,11.24,1.5,Mikiah BRISCO,14-Jul-96,USA,2sf1,"Eugene, OR (USA)",9-Jun-16,1148
79,11.24,0.6,Gayon EVANS,15-Jan-90,JAM,4f1,Kingston (JAM),11-Jun-16,1148
79,11.24,0.6,Remona BURCHELL,15-Sep-91,JAM,5f1,Kingston (JAM),11-Jun-16,1148
85,11.25,1.8,I'Shunique HAMILTON,16-Dec-97,USA,2h2,"Dallas, TX (USA)",18-Mar-16,1146
85,11.25,1.1,Jura LEVY,4-Nov-90,JAM,1f5,Kingston (JAM),16-Apr-16,1146
85,11.25,1.1,Lisa MAYER,2-May-96,GER,2f1,Wetzlar (GER),7-May-16,1146
85,11.25,0.5,Felicia BROWN,27-Oct-93,USA,1h3,"Tuscaloosa, AL (USA)",13-May-16,1146
85,11.25,1.6,Jennifer GALAIS,7-Mar-92,FRA,1h1,Vénissieux (FRA),4-Jun-16,1146
85,11.25,1.9,Me'Lisa BARBER,4-Oct-80,USA,2f1,"Norwalk, CA (USA)",4-Jun-16,1146
85,11.25,1.1,Ramona PAPAIOANNOU,15-Jun-89,CYP,1f1,Lefkosia (CYP),18-Jun-16,1146
85,11.25,-0.6,Tahesia HARRIGAN-SCOTT,15-Feb-82,IVB,1,Road Town (IVB),3-Jul-16,1149
93,11.26,0.5,Marisol Narcisa LANDÁZURI,20-Aug-92,ECU,1,Cuenca (ECU),26-Mar-16,1144
93,11.26,0.3,Flings OWUSU-AGYAPONG,16-Oct-88,GHA,4f1,"Clermont, FL (USA)",14-May-16,1144
93,11.26,1.2,Iman Essa JASIM,9-Jul-97,BRN,3,Almaty (KAZ),25-Jun-16,1144
93,11.26,-0.9,Kali DAVIS-WHITE,27-Oct-94,USA,2sf3,Kingston (JAM),1-Jul-16,1149
93,11.26,0.6,Crystal EMMANUEL,27-Nov-91,CAN,1,Edmonton (CAN),9-Jul-16,1144
93,11.26,1.1,Phylicia GEORGE,16-Nov-87,CAN,1h3,Edmonton (CAN),9-Jul-16,1144
99,11.27,0.4,Quanera HAYES,7-Mar-92,USA,2f2,"Gainesville, FL (USA)",22-Apr-16,1142
99,11.27,1.6,Kortnei JOHNSON,11-Aug-97,USA,1qf2,"Jacksonville, FL (USA)",27-May-16,1142
1,10.74,0.2,Shelly-Ann FRASER-PRYCE,27-Dec-86,JAM,1,Paris (FRA),4-Jul-15,1257
2,10.79,1.5,English GARDNER,22-Apr-92,USA,1sf1,"Hayward Field, Eugene, OR (USA)",26-Jun-15,1246
3,10.8,0.2,Blessing OKAGBARE-IGHOTEGUONOR,9-Oct-88,NGR,2,Paris (FRA),4-Jul-15,1244
4,10.81,1.7,Murielle AHOURÉ,23-Aug-87,CIV,2f1,"Hayward Field, Eugene, OR (USA)",30-May-15,1242
4,10.81,1.2,Tori BOWIE,27-Aug-90,USA,1,"Hayward Field, Eugene, OR (USA)",26-Jun-15,1242
4,10.81,-0.3,Dafne SCHIPPERS,15-Jun-92,NED,2,"National Stadium, Beijing (CHN)",24-Aug-15,1243
7,10.84,1.5,Elaine THOMPSON,28-Jun-92,JAM,2f2,"Hayward Field, Eugene, OR (USA)",30-May-15,1235
7,10.84,1.4,Kelly-Ann BAPTISTE,14-Oct-86,TTO,1f2,Port-of-Spain (TTO),27-Jun-15,1235
9,10.89,-0.2,Veronica CAMPBELL-BROWN,15-May-82,JAM,2sf3,"National Stadium, Beijing (CHN)",24-Aug-15,1225
10,10.92,1.4,Jenna PRANDINI,20-Nov-92,USA,1f1,"Walnut, CA (USA)",18-Apr-15,1217
10,10.92,1.2,Jasmine TODD,23-Dec-93,USA,3,"Hayward Field, Eugene, OR (USA)",26-Jun-15,1217
10,10.92,1.6,Barbara PIERRE,28-Apr-87,USA,1h2,"CIBC, Toronto (CAN)",21-Jul-15,1217
13,10.93,1.2,Jeneba TARMOH,27-Sep-89,USA,4,"Hayward Field, Eugene, OR (USA)",26-Jun-15,1215
14,10.94,1.2,Tianna BARTOLETTA,30-Aug-85,USA,5,"Hayward Field, Eugene, OR (USA)",26-Jun-15,1213
15,10.95,0.9,Sherone SIMPSON,12-Aug-84,JAM,1,"CIBC, Toronto (CAN)",22-Jul-15,1211
16,10.96,0.9,Natasha MORRISON,17-Nov-92,JAM,3sf2,"National Stadium, Beijing (CHN)",24-Aug-15,1209
17,10.97,-2.5,Michelle-Lee AHYE,10-Apr-92,TTO,1f1,"Gainesville, FL (USA)",3-Apr-15,1221
18,10.98,2,Candace HILL,11-Feb-99,USA,1,"Shoreline, WA (USA)",20-Jun-15,1204
19,10.99,0.9,Ángela Gabriela TENORIO,27-Jan-96,ECU,2,"CIBC, Toronto (CAN)",22-Jul-15,1202
19,10.99,0.1,Dina ASHER-SMITH,4-Dec-95,GBR,1h1,"Olympic Stadium, London (GBR)",25-Jul-15,1202
21,11,1.8,Candyce MCGRONE,24-Mar-89,USA,1h4,"Hayward Field, Eugene, OR (USA)",25-Jun-15,1200
21,11,1.5,Dezerea BRYANT,27-Apr-93,USA,4sf1,"Hayward Field, Eugene, OR (USA)",26-Jun-15,1200
23,11.01,1.4,Ana Claudia LEMOS,6-Nov-88,BRA,2f1,"Walnut, CA (USA)",18-Apr-15,1198
23,11.01,1.2,Carmelita JETER,24-Nov-79,USA,7,"Hayward Field, Eugene, OR (USA)",26-Jun-15,1198
23,11.01,1.4,Samantha HENRY-ROBINSON,25-Sep-88,JAM,1h3,San José (CRC),7-Aug-15,1198
26,11.02,1.4,Muna LEE,30-Oct-81,USA,3f1,"Walnut, CA (USA)",18-Apr-15,1195
26,11.02,0.6,Marie-Josée TA LOU,18-Nov-88,CIV,1,Brazzaville (CGO),14-Sep-15,1195
28,11.04,-2.5,Remona BURCHELL,15-Sep-91,JAM,2f1,"Gainesville, FL (USA)",3-Apr-15,1206
28,11.04,1.5,Rosângela SANTOS,20-Dec-90,BRA,3f2,"Hayward Field, Eugene, OR (USA)",30-May-15,1191
30,11.06,0.2,Shalonda SOLOMON,19-Dec-85,USA,2f1,"Gainesville, FL (USA)",24-Apr-15,1187
30,11.06,1.8,Lekeisha LAWSON,3-Jun-87,USA,3h4,"Hayward Field, Eugene, OR (USA)",25-Jun-15,1187
30,11.06,1.2,Carina HORN,9-Mar-89,RSA,1h2,"Moratalaz, Madrid (ESP)",11-Jul-15,1187
33,11.07,0.9,Mujinga KAMBUNDJI,17-Jun-92,SUI,5sf2,"National Stadium, Beijing (CHN)",24-Aug-15,1185
34,11.08,1.2,Ruddy ZANG MILAMA,6-Jun-87,GAB,1,"Greensboro, NC (USA)",17-May-15,1182
34,11.08,1.8,Aaliyah BROWN,6-Jan-95,USA,1sf3,"Eugene, OR (USA)",11-Jun-15,1182
34,11.08,1.7,Tiffany TOWNSEND,14-Jun-89,USA,2h3,"Moratalaz, Madrid (ESP)",11-Jul-15,1182
37,11.09,0.2,Allyson FELIX,18-Nov-85,USA,3f1,"National Stadium, Kingston (JAM)",9-May-15,1180
37,11.09,1.8,Keilah TYSON,6-Nov-92,USA,2sf3,"Eugene, OR (USA)",11-Jun-15,1180
37,11.09,1.1,Natalia POHREBNIAK,19-Feb-88,UKR,1,Kirovograd (UKR),30-Jul-15,1180
37,11.09,-1.2,Ivet LALOVA-COLLIO,18-May-84,BUL,2h3,"National Stadium, Beijing (CHN)",23-Aug-15,1187
41,11.1,1.8,Asha PHILIP,25-Oct-90,GBR,3,"Blankers-Koen Stadion, Hengelo (NED)",24-May-15,1178
41,11.1,0.6,Simone FACEY,7-May-85,JAM,1,Edmonton (CAN),12-Jul-15,1178
41,11.1,0,Verena SAILER,16-Oct-85,GER,1f1,Mannheim (GER),8-Aug-15,1178
44,11.11,1.7,Christania WILLIAMS,17-Oct-94,JAM,1f1,Kingston (JAM),30-May-15,1176
44,11.11,0,Desiree HENRY,26-Aug-95,GBR,2f1,Mannheim (GER),8-Aug-15,1176
46,11.12,-1.2,Ezinne OKPARAEBO,3-Mar-88,NOR,4h3,"National Stadium, Beijing (CHN)",23-Aug-15,1181
47,11.13,1.4,Kimberlyn DUNCAN,2-Aug-91,USA,4f1,"Walnut, CA (USA)",18-Apr-15,1172
47,11.13,2,Aleia HOBBS,24-Feb-96,USA,2sf1,"Eugene, OR (USA)",11-Jun-15,1172
47,11.13,0.9,Khamica BINGHAM,15-Jun-94,CAN,6,"CIBC, Toronto (CAN)",22-Jul-15,1172
47,11.13,0.5,Semoy HACKETT,27-Nov-88,TTO,5sf1,"National Stadium, Beijing (CHN)",24-Aug-15,1172
51,11.14,2,Tahesia HARRIGAN-SCOTT,15-Feb-82,IVB,1f2,"Randalls Island, NY (USA)",11-Jul-15,1169
51,11.14,0,Charonda WILLIAMS,27-Mar-87,USA,1f1,Luzern (SUI),14-Jul-15,1169
53,11.16,1.8,Sally PEARSON,19-Sep-86,AUS,1f1,Canberra (AUS),7-Feb-15,1165
53,11.16,1.8,Jennifer MADU,23-Sep-94,USA,3sf3,"Eugene, OR (USA)",11-Jun-15,1165
53,11.16,1.5,Alexandria ANDERSON,28-Jan-87,USA,6sf1,"Hayward Field, Eugene, OR (USA)",26-Jun-15,1165
56,11.17,1.4,Mikele BARBER,4-Oct-80,USA,5f1,"Walnut, CA (USA)",18-Apr-15,1163
56,11.17,1.8,Ky WESTBROOK,25-Feb-96,USA,4sf3,"Eugene, OR (USA)",11-Jun-15,1163
56,11.17,0.4,Kerron STEWART,16-Apr-84,JAM,5,Kingston (JAM),26-Jun-15,1163
59,11.19,0,Khalifa ST. FORT,13-Feb-98,TTO,2,"Pascual Guerrero, Cali (COL)",16-Jul-15,1159
59,11.19,0.9,Viktoriya ZYABKINA,4-Sep-92,KAZ,6sf2,"National Stadium, Beijing (CHN)",24-Aug-15,1159
61,11.2,0,Jessica YOUNG-WARREN,6-Apr-87,USA,3,Bellinzona (SUI),21-Jul-15,1157
61,11.2,0,Olga SAFRONOVA,5-Nov-91,KAZ,1h2,Almaty (KAZ),25-Jul-15,1157
63,11.21,1.9,Sheniqua FERGUSON,24-Nov-89,BAH,1h1,"Auburn, AL (USA)",18-Apr-15,1154
63,11.21,1.3,Rebekka HAASE,2-Jan-93,GER,1sf1,Wetzlar (GER),13-Jun-15,1154
65,11.22,2,Yelizaveta DEMIROVA,14-Aug-87,RUS,1,Yerino (RUS),6-Jun-15,1152
65,11.22,2,Tawanna MEADOWS,4-Aug-86,USA,1h1,"Montverde, FL (USA)",6-Jun-15,1152
65,11.22,1.4,Reyare THOMAS,23-Nov-87,TTO,3f2,Port-of-Spain (TTO),27-Jun-15,1152
68,11.23,0.2,Schillonie CALVERT-POWELL,27-Jul-88,JAM,6f1,"National Stadium, Kingston (JAM)",9-May-15,1150
68,11.23,1.5,Tatjana PINTO,2-Jul-92,GER,1f1,Regensburg (GER),6-Jun-15,1150
68,11.23,-0.5,Chisato FUKUSHIMA,27-Jun-88,JPN,3h7,"National Stadium, Beijing (CHN)",23-Aug-15,1153
71,11.24,1.6,Ewa SWOBODA,26-Jul-97,POL,1f1,St. Pölten (AUT),4-Jun-15,1148
71,11.24,1.6,Yekaterina SMIRNOVA,8-Sep-88,RUS,2f1,St. Pölten (AUT),4-Jun-15,1148
71,11.24,0.6,Teahna DANIELS,25-Mar-97,USA,1,"Eugene, OR (USA)",26-Jun-15,1148
74,11.25,1.8,Jamile SAMUEL,24-Apr-92,NED,4,"Blankers-Koen Stadion, Hengelo (NED)",24-May-15,1146
74,11.25,0.9,Gina LÜCKENKEMPER,21-Nov-96,GER,1sf2,Wetzlar (GER),13-Jun-15,1146
76,11.26,0.9,Melissa BREEN,17-Sep-90,AUS,1,Brisbane (AUS),28-Mar-15,1144
76,11.26,1.5,Tristie JOHNSON,20-Nov-93,USA,1,"Greensboro, NC (USA)",2-May-15,1144
76,11.26,2,Zaria FRANCIS,22-Mar-98,USA,2,"Shoreline, WA (USA)",20-Jun-15,1144
76,11.26,1.8,Alexis FAULKNOR,22-Sep-94,USA,6h4,"Hayward Field, Eugene, OR (USA)",25-Jun-15,1144
80,11.27,0.8,Jamaul ANDREWS,1999,TTO,1f3,Port-of-Spain (TTO),26-Apr-15,1142
80,11.27,0.7,Alphonsus Peace UKO,26-Dec-95,NGR,1f2,"Clermont, FL (USA)",16-May-15,1142
80,11.27,1.1,Tynia GAITHER,16-Mar-93,BAH,2,"Los Angeles, CA (USA)",17-May-15,1142
80,11.27,2,Kseniya RYZHOVA,19-Apr-87,RUS,2,Yerino (RUS),6-Jun-15,1142
80,11.27,1.5,Crystal EMMANUEL,27-Nov-91,CAN,2,Edmonton (CAN),3-Jul-15,1142
80,11.27,0.5,Yongli WEI,11-Oct-91,CHN,8sf1,"National Stadium, Beijing (CHN)",24-Aug-15,1142
86,11.28,1.5,Sabria HADLEY,1-Jan-95,USA,1,"Tallahassee, FL (USA)",16-May-15,1139
86,11.28,1,Marika POPOWICZ-DRAPAŁA,28-Apr-88,POL,1f2,Bydgoszcz (POL),14-Jun-15,1139
86,11.28,0.6,Sanya RICHARDS-ROSS,26-Feb-85,USA,5,Edmonton (CAN),12-Jul-15,1139
89,11.29,-1.3,Janet AMPONSAH,12-Apr-93,GHA,1f1,"Canyon, TX (USA)",25-Apr-15,1144
89,11.29,-0.3,Morolake AKINOSUN,17-May-94,USA,1h2,"Ames, IA (USA)",16-May-15,1138
89,11.29,0.2,Véronique MANG,15-Dec-84,FRA,9,Paris (FRA),4-Jul-15,1137
92,11.3,2,Shayla SANDERS,6-Jan-94,USA,3sf1,"Eugene, OR (USA)",11-Jun-15,1135
92,11.3,0.2,Lolo JONES,5-Aug-82,USA,3h2,Bellinzona (SUI),21-Jul-15,1135
92,11.3,0.1,Anna-Lena FREESE,21-Jan-94,GER,2h1,Nürnberg (GER),25-Jul-15,1135
92,11.3,1.1,Andrea IVANČEVIĆ,21-Aug-84,CRO,1,Varaždin (CRO),25-Jul-15,1135
92,11.3,0.6,Yasmin KWADWO,9-Nov-90,GER,1f2,Mannheim (GER),8-Aug-15,1135
97,11.31,1.2,Mikiah BRISCO,14-Jul-96,USA,2h3,"Starkville, MS (USA)",15-May-15,1133
97,11.31,2,Yekaterina RENZHINA,18-Oct-94,RUS,3,Yerino (RUS),6-Jun-15,1133
97,11.31,1.5,Lisa MAYER,2-May-96,GER,2,Wetzlar (GER),13-Jun-15,1133
97,11.31,1.5,Kimberly HYACINTHE,28-Mar-89,CAN,3,Edmonton (CAN),3-Jul-15,1133
1,10.8,0.8,Tori BOWIE,27-Aug-90,USA,1,"Stade Louis II, Monaco (MON)",18-Jul-14,1244
2,10.85,1.6,Michelle-Lee AHYE,10-Apr-92,TTO,1sf2,Port-of-Spain (TTO),21-Jun-14,1233
2,10.85,0.3,Blessing OKAGBARE-IGHOTEGUONOR,9-Oct-88,NGR,1,"Hampden Park, Glasgow (GBR)",28-Jul-14,1233
4,10.86,2,Veronica CAMPBELL-BROWN,15-May-82,JAM,1h1,"Clermont, FL (USA)",7-Jun-14,1231
5,10.92,2,Tianna BARTOLETTA,30-Aug-85,USA,1sf1,"Sacramento, CA (USA)",27-Jun-14,1217
6,10.97,0.8,Murielle AHOURÉ,23-Aug-87,CIV,3,"Stade Louis II, Monaco (MON)",18-Jul-14,1206
7,11,1.5,Samantha HENRY-ROBINSON,25-Sep-88,JAM,h4,"Clermont, FL (USA)",26-Apr-14,1200
